date,open,high,low,close,volume,daily_return,ema_20,ema_50,rsi_14,macd,macd_signal,macd_hist,vwap,target
2025-04-07,1118.1987191281396,1180.5306910753607,1105.6229363376947,1160.3995361328125,87235,-0.020557892942962952,1195.6939384359057,1197.5724126731054,42.23025036131832,-4.194999147137196,-0.3890601376480202,-3.8059390094891756,1202.5348388689838,1
2025-04-08,1167.1098132611287,1178.4925648574285,1153.191979031439,1164.475341796875,44550,0.0035124157991701654,1192.720738755998,1196.274488325018,43.217324511688815,-6.115916394284568,-1.5344313889753298,-4.581485005309238,1201.1951194092421,0
2025-04-09,1164.4753044616996,1171.9810419364742,1130.277174322996,1137.981689453125,60970,-0.02275157866620714,1187.5074959652482,1193.9884962123947,34.47301116578369,-9.664665234778568,-3.1604781581359775,-6.50418707664259,1198.634133502046,1
2025-04-11,1173.0247899280832,1184.0099856920501,1145.5371656808875,1174.0189208984375,146500,0.03166767249359759,1186.222869768409,1193.2053756118476,35.81555411272586,-9.460120476168868,-4.420406621742556,-5.039713854426312,1195.5088280506748,0
2025-04-15,1196.834404503802,1196.834404503802,1156.9697733652067,1159.3555908203125,126541,-0.012489858397600306,1183.6640812971618,1191.877933071003,35.98572200790218,-10.361781307123465,-5.608681558818738,-4.753099748304727,1193.5368566200714,1
2025-04-16,1163.7297672982882,1191.664825158974,1153.689068098326,1177.0511474609375,528067,0.01526326933749833,1183.0342780746644,1191.2964904980593,42.229980016629746,-9.53851639927916,-6.394648526910823,-3.1438678723683378,1188.6519561289474,0
2025-04-17,1192.9572662560015,1195.9396594216414,1166.1157277652414,1169.197509765625,335900,-0.006672299425775963,1181.7164906166606,1190.4298638026698,43.707264424498774,-9.411308251741957,-6.99798047187705,-2.4133277798649067,1187.0551064353938,1
2025-04-21,1181.02773072575,1212.2434711116703,1164.226891093637,1193.35498046875,389246,0.02066158241131344,1182.8249182216216,1190.544574260163,49.96245231582492,-7.277300692576091,-7.053844516016859,-0.22345617655923178,1187.4531995185598,1
2025-04-22,1204.8868209256552,1207.769825213499,1185.0042001183012,1197.7291259765625,128319,0.003665418571508594,1184.244366579235,1190.8263213862963,51.87844676308524,-5.17349056220678,-6.677773725254844,1.504283163048064,1187.8611456538788,1
2025-04-23,1203.9920716968697,1221.4887536345234,1181.823022438292,1209.65869140625,212765,0.009960153068800714,1186.6647784675222,1191.5648457008042,59.91579196182569,-2.5146028695241966,-5.845139554108715,3.3305366845845183,1188.968303282235,1
2025-04-24,1216.8163393258487,1242.862522884245,1209.6586446948963,1212.442138671875,154918,0.0023010186967609148,1189.119765153651,1192.3835630722187,50.42160734602988,-0.1807309310531764,-4.712257829497607,4.53152689844443,1190.494183528409,0
2025-04-25,1218.5062643525614,1223.4769191330709,1165.2208693762743,1187.2906494140625,145226,-0.020744486236154547,1188.9455636546425,1192.1838409679774,45.30867474693296,-0.35652578123836065,-3.841111419845758,3.4845856386073972,1190.5571568949024,0
2025-04-28,1174.0687550901125,1189.9748516874383,1164.22683354974,1182.2205810546875,65547,-0.004270284080715281,1188.3050891213136,1191.7931248929465,45.891624479731426,-0.8946437149659232,-3.251817878869791,2.357174163903868,1190.3389378368918,1
2025-04-29,1184.5072069104085,1200.21452684868,1172.6770225370415,1185.0042724609375,90393,0.0023546294582070804,1187.9907256298493,1191.526895385809,50.05993901933056,-1.0839898618044117,-2.8182522754567154,1.7342624136523037,1190.2297161632598,0
2025-04-30,1185.2029337437054,1192.1618507676922,1162.13914300576,1167.9051513671875,118891,-0.014429586028613772,1186.07781379531,1190.600552483118,51.87482695828337,-2.5840172736513978,-2.771405275095652,0.18738800144425438,1189.715778499818,0
