date,open,high,close,volume,low,ema9,ema15,rsi,macd,macd_signal,macd_hist,vwap,supertrend_dir,bb_upper,bb_mid,bb_lower,bb_width,atr,obv,adx,stoch_k,stoch_d,ich_tenkan,ich_kijun,ich_senkou_a,ich_senkou_b,ich_chikou,target
2021-06-24,119.51105857680888,119.51105857680888,118.212890625,6120,116.83484139230846,119.56355113859009,120.84292630170978,42.47784225970514,-1.3366559376523242,-0.38512530430320013,-0.951530633349124,122.39183482124676,-1.0,134.16055192330725,123.11446418762208,112.0683764519369,0.1794441913639385,5.492536715700262,-98010.0,36.61764745772286,18.01358661992277,12.899037271907767,120.56456845488208,132.77730278021994,116.70252734636243,115.13224479323863,115.9261245727539,0
2021-06-25,119.6608489777374,119.6608489777374,117.27422332763672,10480,117.03455662787464,119.10568557639942,120.39683842995065,40.66395758472943,-1.4776817938598867,-0.6036366022145375,-0.8740451916453492,122.36844235065104,-1.0,130.17099729889577,121.99854202270508,113.82608674651439,0.13397627776015583,5.287804975283298,-108490.0,37.29199348699131,9.235698171320758,11.368816938965717,120.26000147604597,132.77730278021994,117.48142497604836,115.13224479323863,117.53385162353516,0
2021-06-28,117.23428007043114,118.85198840784736,115.19715881347656,32055,111.5822660508476,118.32398022381486,119.74687847789139,36.908235180693005,-1.737024214595266,-0.8303141246906833,-0.9067100899045826,122.25395638330954,-1.0,127.23331028896582,121.02342071533204,114.81353114169825,0.10262293921166529,5.42937050254876,-140545.0,39.79612743691754,25.403533924017154,17.55093957175356,117.84840997623894,130.38568283091377,117.48142497604836,115.13224479323863,115.07732391357422,1
2021-06-29,117.41402191311175,119.6109132710558,116.63512420654295,13785,114.59800302548824,117.98620902036049,119.35790919397283,40.97284466873897,-1.8057080830795655,-1.0253929163684599,-0.7803151667111057,122.21771047898474,-1.0,126.02753498244105,120.45572319030762,114.88391139817419,0.09251219692277995,5.3996233413358175,-126760.0,41.22765961516458,38.4498589977989,24.363030364378933,117.84840997623894,130.38568283091377,119.72325877343546,115.57662040288746,112.7106704711914,1
2021-06-30,119.63088983328387,119.63088983328387,117.36408996582033,4115,116.76493846724556,117.86178520945246,119.10868179045377,42.978374484128246,-1.7807912461596231,-1.1764725823266926,-0.6043186638329305,122.20896437501067,-1.0,125.20912734043624,120.04230766296386,114.87548798549149,0.08608331142674572,5.227919218864754,-122645.0,42.53182120499456,43.99694339929663,35.95011210703756,117.84840997623894,130.38568283091377,122.9536893764628,118.8070510059148,113.37972259521484,0
2021-07-01,117.374077218609,118.3726655826074,115.4368133544922,10050,114.9974396549976,117.37679083846042,118.64969823595857,39.187444072086016,-1.894718454078614,-1.3201217566770769,-0.5745966974015371,122.17958763467593,-1.0,124.62563221931451,119.5749683380127,114.52430445671088,0.08447694281666798,5.095583983775113,-132695.0,44.27359829112871,29.3312805859054,37.25936099433364,117.553821487081,130.38568283091377,126.34389875244526,122.19726038189725,116.49532318115234,1
2021-07-02,115.4068559054253,117.83342591330012,116.04595184326172,7845,115.4068559054253,117.11062303942069,118.32422993687146,40.9599956505151,-1.9137931853488652,-1.4388560424114347,-0.4749371429374305,122.15747182653854,-1.0,124.34304452260534,119.25292320251465,114.16280188242396,0.08536681841236553,4.9049401283536636,-124850.0,45.890962728251175,35.61748537478523,36.315236453329085,117.12442977809937,128.6281738260487,129.82647287360794,125.52255723230321,116.45538330078124,1
2021-07-05,117.82344441623027,120.38981632635156,118.1230239868164,26635,117.03455865773677,117.31310322889985,118.29907919311458,46.668349327775,-1.7412358016975702,-1.4993319942686618,-0.24190380742890838,122.11053668044727,-1.0,124.14604678003852,119.10613059997559,114.06621441991265,0.08462899692351744,4.864863296549105,-98215.0,44.28101731461739,52.19125201874558,39.04667265981207,115.98604118859959,125.89203372950487,130.64282020742826,125.52255723230321,112.34119415283205,1
2021-07-06,120.33989097760772,124.02467701622588,122.32707977294922,107790,116.9946213401949,118.31589853770973,118.8025792655939,55.95153158770209,-1.2508318537698813,-1.4496319661689059,0.19880011239902462,122.06120807369311,-1.0,124.18196167803829,119.11611633300781,114.05027098797733,0.08505726178754625,5.0195198950835245,9575.0,42.09175217142066,85.73704857365563,57.848595322395475,117.80347153353674,124.53895334471261,131.29190283466758,125.52255723230321,113.36973571777344,0
2021-07-07,124.62383682189424,125.81215185109777,121.58812713623048,27145,119.8805418665368,118.97034425741388,119.15077274942348,54.1667803582211,-0.9113055310716902,-1.3419666791494627,0.43066114807777245,122.06571757429752,-1.0,124.18651711158039,119.11761436462402,114.04871161766765,0.08510752627123624,5.084669187189056,-17570.0,40.95578574549484,70.31582140410896,69.41470733217005,118.69720895097268,120.59951982454433,131.64390555873769,125.52255723230321,114.34835815429688,0
2021-07-08,120.42975835383844,125.6224225548917,119.81063842773438,14400,118.03314469324656,119.13840309147798,119.23325595921234,50.03256224206377,-0.7767036022158464,-1.2289140637627396,0.45221046154689315,122.05980197866694,-1.0,123.80164636288258,118.98080787658691,114.15996939029124,0.08103556484995536,5.263569806793062,-31970.0,38.569133382069005,57.82458476711244,71.292484914959,118.69720895097268,120.18510366939196,131.84362262024678,125.52255723230321,115.69644927978516,0
