date,open,low,high,volume,close,ema9,ema15,rsi,macd,macd_signal,macd_hist,vwap,supertrend_dir,bb_upper,bb_mid,bb_lower,bb_width,atr,obv,adx,stoch_k,stoch_d,ich_tenkan,ich_kijun,ich_senkou_a,ich_senkou_b,ich_chikou,target
2023-07-04,84.80000305175781,82.0,84.80000305175781,36000,84.0,81.22147794896678,80.2813275238195,61.39180036769559,1.749302851852434,1.4388297755258392,0.3104730763265948,62.38572840939698,-1.0,86.51837752699414,78.87249946594238,71.22662140489062,0.193879441194674,4.1462544509680885,5085000.0,27.940652818531973,75.52448074725906,70.04128995889381,80.75,77.20000076293945,82.875,64.125,128.0,1
2023-07-05,85.30000305175781,85.30000305175781,92.4000015258789,138000,92.4000015258789,83.4571826643492,81.79616177407692,71.68398117250618,2.5526394183471837,1.661591704090108,0.8910477142570756,62.69998339335752,-1.0,89.2391127778664,79.76249961853027,70.28588645919415,0.23762076676751126,4.450093527747433,5223000.0,30.700824225025542,99.99999999947917,82.51748624790189,84.45000076293945,79.6500015258789,80.96249961853027,64.125,118.0999984741211,1
2023-07-06,96.9499969482422,94.0,101.5999984741211,336000,101.5999984741211,87.08574582630358,84.27164136158244,78.45753106180058,3.886847146733089,2.1066427926187044,1.7802043541143848,63.67932179505945,-1.0,94.39968861871552,81.12499961853027,67.85031061834502,0.3272650616354944,4.7893723434970585,5559000.0,34.15827741678593,99.9999999996016,91.84149358211329,89.04999923706055,84.25,80.1875,64.125,117.0,1
2023-07-07,105.1999969482422,98.0,106.6500015258789,141000,105.6999969482422,90.8085960506913,86.95018580991491,80.67603900855747,5.214937443013952,2.728301722697754,2.4866357203161975,64.12373973412906,-1.0,99.29437591622552,82.84499931335449,66.39562271048347,0.39711211875644387,5.065131570810047,5700000.0,37.655046468165764,96.84907287013526,98.94969095640535,91.82500076293945,86.7750015258789,80.03750038146973,64.125,117.0,1
2023-07-10,110.8000030517578,110.8000030517578,110.9499969482422,30000,110.9499969482422,94.83687623020148,89.95016220220582,83.07902475662928,6.614837960692512,3.5056089702967057,3.109228990395806,64.23468911564855,-1.0,104.57471668972296,84.8574993133545,65.14028193698603,0.4647136089536455,5.078336458609329,5730000.0,41.09331392366198,99.99999999970971,98.9496909564822,95.2249984741211,88.9749984741211,78.88750076293945,64.125,123.6500015258789,0
2023-07-11,115.0,105.4000015258789,115.0,210000,105.4000015258789,96.94950128933698,91.88139211766496,72.7760730223331,7.19350866921863,4.243188910081091,2.950319759137539,64.95927423769994,-1.0,107.64835259172898,86.25999946594239,64.87164634015579,0.49590431852962064,5.401312316860169,5520000.0,41.80648899263956,75.06493902806193,90.63800396596896,97.25,91.0,78.88750076293945,64.125,136.0,1
2023-07-12,105.4000015258789,105.4000015258789,110.6500015258789,102000,109.4499969482422,99.44960042111802,94.07746772148711,75.19364706802182,7.8879824070932045,4.972147609483514,2.9158347976096906,65.30195587564398,-1.0,111.1970523639542,87.83249931335449,64.46794626275478,0.5320252351516689,5.3905042942273,5622000.0,42.46872298526082,85.58440765754965,86.88311556177376,97.5,91.0,78.125,64.125,140.0,0
2023-07-13,110.0,104.0,112.0,108000,104.0,100.35968033689441,95.31778425630122,66.6200970727761,7.907436634262297,5.559205414439271,2.3482312198230257,65.64381298961938,-1.0,113.07957317993053,89.13249931335449,65.18542544677844,0.5373365282254854,5.576896844639636,5514000.0,42.42987809741618,71.4285714283859,77.35930603799916,98.0,91.0,77.375,64.125,154.0,0
2023-07-14,103.0,102.0,104.0,24000,102.25,100.73774426951555,96.18431122426357,64.09302976259684,7.6929641725370885,5.985957166058835,1.7070070064782534,65.71183533060999,-1.0,114.45925016629528,90.25999946594239,66.0607487655895,0.5362120727567062,5.321404212879663,5490000.0,41.47336258729513,66.44736842087777,74.48678250227111,98.5,91.0,76.91250038146973,64.125,161.6999969482422,1
2023-07-17,104.0,104.0,106.0,18000,106.0,101.79019541561244,97.41127232123063,66.98320615335317,7.736406384318926,6.336047009710853,1.4003593746080725,65.76623555670068,-1.0,116.3554940913039,91.31499938964843,66.27450468799297,0.5484420931719713,5.20916105481683,5508000.0,41.06583103938654,74.64788732373339,70.84127572433236,100.1500015258789,91.0,76.01250076293945,64.125,162.0,0
