date,low,high,close,volume,open,ema9,ema15,rsi,macd,macd_signal,macd_hist,vwap,supertrend_dir,bb_upper,bb_mid,bb_lower,bb_width,atr,obv,adx,stoch_k,stoch_d,ich_tenkan,ich_kijun,ich_senkou_a,ich_senkou_b,ich_chikou,target
2024-01-30,121.5,129.8000030517578,122.5999984741211,63000,128.6999969482422,131.46062342182705,134.54748575074018,36.15864546020435,-5.160296006109206,-3.9188141996454173,-1.241481806463789,111.83948394062402,-1.0,151.2243452022204,135.34250030517578,119.46065540813115,0.23469117034518894,9.050421284110538,8289000.0,28.56403840353922,3.9325878815978768,10.86142707368568,139.0,140.0999984741211,158.0875015258789,121.1500015258789,93.5500030517578,1
2024-01-31,126.0,132.0,128.0500030517578,54000,126.0,130.7784993478132,133.73530041336738,41.73865359626768,-5.183430887226507,-4.171737537161635,-1.0116933500648715,111.88875897839085,-1.0,150.7874102305873,134.74500045776367,118.70259068494002,0.23811510213086232,9.075391301379707,8343000.0,27.76911249520601,19.24158687944694,9.035587547547564,139.0,140.0999984741211,160.625,121.1500015258789,103.0,1
2024-02-01,130.0,135.0,130.0,24000,132.0,130.62279947825056,133.26838786169645,43.636886354475116,-4.986930756763741,-4.334776181082057,-0.652154575681684,111.91444040372865,-1.0,150.38863615578018,134.31750030517577,118.24636445457138,0.23930069892721423,8.92357741901274,8367000.0,26.259155919843618,24.71910545786129,15.96442673963537,139.0,139.0,160.82500076293945,122.95000076293945,97.6999969482422,0
2024-02-02,125.0,132.39999389648438,126.0,21000,132.39999389648438,129.69823958260045,132.3598393789844,40.70701251038685,-5.095234862449416,-4.486867917355529,-0.6083669450938878,111.9324687602352,-1.0,150.04848548614342,133.69250030517577,117.3365151242081,0.24468066860325177,8.814750024546429,8346000.0,25.859733478449414,13.48315232808429,19.147948221797506,138.04999542236328,139.0,160.82500076293945,124.75,81.9000015258789,0
2024-02-05,115.0999984741211,125.0,124.9499969482422,108000,124.0999984741211,128.7485910557288,131.43360907514162,39.94876022935485,-5.205784079153091,-4.630651149715041,-0.5751329294380501,111.98905017056722,-1.0,149.65262951234624,133.0150001525879,116.37737079282957,0.25016170117144687,8.963696560355892,8238000.0,26.937579416658924,23.621096865250557,20.607784883732048,128.49999618530273,135.95000076293945,160.28750228881836,128.54999923706055,80.69999694824219,1
2024-02-06,122.5,130.89999389648438,128.39999389648438,15000,125.0,128.67887162387993,131.05440717780948,43.662046202233505,-4.957858106862801,-4.696092541144593,-0.26176556571820786,112.00135296685252,-1.0,149.52219685618522,132.7599998474121,115.99780283863899,0.2525187862010567,8.92343208436507,8253000.0,26.433111333153896,31.894469933617312,22.999573042317383,125.27499771118164,135.95000076293945,156.4250030517578,128.82500076293945,84.0,0
2024-02-07,127.0,130.89999389648438,127.0,18000,130.89999389648438,128.34309729910396,130.5476062805833,42.51322463172183,-4.818794728783871,-4.720632978672449,-0.09816175011142203,112.0170877810105,-1.0,148.88749011207372,132.1775001525879,115.46751019310207,0.25284167033243776,8.56461507094502,8235000.0,25.964676684184685,28.537170790221488,28.01757919636312,125.04999923706055,135.95000076293945,155.9250030517578,128.82500076293945,99.0,0
2024-02-08,118.0999984741211,127.8000030517578,123.5,72000,124.3499984741211,127.37447783928317,129.66665549551038,39.70083962739043,-4.934129179248686,-4.7633322187876965,-0.17079696046098913,112.05984942638041,-1.0,148.9729944709844,131.8275001525879,114.68200583419141,0.2601201463812617,8.645714321422998,8163000.0,26.851396772757465,20.143886339915646,26.85850902125148,125.04999923706055,135.95000076293945,153.0749969482422,132.0999984741211,92.8000030517578,0
2024-02-09,121.5,127.25,121.8000030517578,30000,124.4000015258789,126.2595828817781,128.6833239400413,38.373012898856835,-5.103873827999706,-4.831440540630099,-0.2724332873696076,112.07818326900728,-1.0,148.7736109810435,131.15,113.52638901895651,0.2687550283039277,8.438877584178499,8133000.0,27.67477971214589,16.834184292029327,21.83841380738882,125.04999923706055,135.95000076293945,153.0749969482422,132.125,93.5500030517578,0
2024-02-12,118.4499969482422,125.0,119.4000015258789,42000,125.0,124.88766661059827,127.522908638271,36.516170677721576,-5.37015395853858,-4.939183224211795,-0.43097073432678545,112.09801488757876,-1.0,148.82728671371478,130.47000007629396,112.11271343887313,0.28140241628990736,8.303957974719877,8091000.0,28.858909539879757,16.04479024706708,17.674286959670685,125.04999923706055,135.95000076293945,148.625,132.125,96.4000015258789,0
2024-02-13,118.0,120.0,119.0,30000,120.0,123.71013328847862,126.45754505848713,36.20174829026413,-5.549488610358097,-5.0612443014410555,-0.4882443089170412,112.10901757387307,-1.0,149.07088012303817,130.04000015258788,111.00912018213761,0.2926927091372649,7.853675262239887,8061000.0,30.022043643398533,19.164628099699065,17.34786754626516,125.04999923706055,135.95000076293945,148.625,132.125,94.75,1
2024-02-14,120.0,126.0,125.0,27000,120.0,123.9681066307829,126.27535192617624,43.992017206476824,-5.148118453118599,-5.0786191317765645,-0.06949932134203429,112.1255758103957,-1.0,149.0462890286295,129.91000022888184,110.77371142913418,0.29460840221719153,7.792698457794181,8088000.0,29.05747564425645,49.74874757147494,28.3193886394137,123.74999618530273,135.95000076293945,147.4875030517578,136.0250015258789,95.25,1
2024-02-15,126.9000015258789,126.9000015258789,126.9000015258789,3000,126.9000015258789,124.55448560980211,126.35343312613908,46.231060669892415,-4.623419564862317,-4.987579218393716,0.3641596535313987,112.12792730263116,-1.0,147.24113381796747,129.10250015258788,110.96386648720828,0.28099585436265395,7.371791534085947,8091000.0,27.887095726076772,59.296493200531835,42.736622957235284,122.99999618530273,135.95000076293945,147.4875030517578,139.5999984741211,93.0500030517578,1
2024-02-16,117.1500015258789,134.0,128.75,159000,118.3499984741211,125.3935884878417,126.6530039853717,48.39433728789016,-4.012063924391342,-4.7924761595932415,0.7804122352018998,112.24926356314008,-1.0,145.06916333093218,128.3400001525879,111.61083697424361,0.26070068814775393,8.04880631551703,8250000.0,28.622223286571508,68.5929672319834,59.21273600133006,125.57500076293945,135.95000076293945,144.4625015258789,141.75,92.4499969482422,0
2024-02-19,122.0500030517578,125.0,122.1999969482422,9000,125.0,124.7548701799218,126.09637810573051,41.95785369532835,-4.009867424739298,-4.6359544126224534,0.6260869878831556,112.2543909033058,-1.0,140.37921839204452,126.9474998474121,113.51578130277969,0.21161060376559515,7.952462789283114,8241000.0,29.304841735601638,35.67838155616347,54.522613996226234,125.57500076293945,135.95000076293945,143.3375015258789,142.0,97.3000030517578,1
2024-02-20,122.3000030517578,123.1999969482422,122.5,9000,122.3000030517578,124.30389614393744,125.64683084251419,42.33614524844682,-3.938518158207984,-4.4964671617395595,0.5579490035315757,112.25931629392234,-1.0,133.04033962089304,125.53249969482422,118.02465976875541,0.1196158754794936,7.4558583043343205,8250000.0,29.938701723986302,37.1859344644693,47.15242775087205,125.57500076293945,135.95000076293945,143.3375015258789,148.0,98.1500015258789,1
2024-02-21,124.25,130.0,124.25,33000,128.0,124.29311691514997,125.47222698719992,44.60421778178712,-3.698133198296489,-4.336800369050946,0.6386671707544567,112.28339639058537,-1.0,131.99454719900766,125.13999938964844,118.28545158028922,0.10955006940683663,7.459011282596155,8283000.0,28.17482988182186,48.41270257730835,40.42567286598038,125.57500076293945,135.95000076293945,143.3375015258789,149.54999923706055,97.6999969482422,0
2024-02-22,118.4499969482422,124.9499969482422,119.1500015258789,75000,124.9499969482422,123.26449383729576,124.68194880453478,39.70310776229683,-3.8744909205373403,-4.244338479348225,0.3698475588108847,112.3169751068112,-1.0,131.57043130502424,124.60249977111816,117.6345682372121,0.11184256410103888,7.39051047669643,8208000.0,27.822931628880962,21.428585845302184,35.675740962359946,125.57500076293945,135.95000076293945,141.9625015258789,149.54999923706055,98.5,1
2024-02-23,116.0500030517578,126.0,121.4000015258789,63000,119.0,122.8915953750124,124.27170539470279,42.69475284530219,-3.7890220029706256,-4.153275184072705,0.3642531811020797,112.34596300410772,-1.0,130.7906140555684,124.17249984741211,117.55438563925581,0.10659548960170011,7.5733309389497,8271000.0,27.95213942444621,29.80501049397234,33.2154329721943,125.0250015258789,135.95000076293945,142.22500228881836,149.54999923706055,99.75,0
2024-02-26,120.0,123.3000030517578,121.1500015258789,54000,120.0,122.54327660518571,123.8814924110998,42.44277573365785,-3.6988224578346376,-4.062384638825092,0.36356218099045456,112.37159378069988,-1.0,130.82160586107258,124.1,117.37839413892742,0.10832563837336287,7.268093232721706,8217000.0,28.072118091756348,28.412252597024125,26.548616312099554,125.0250015258789,135.95000076293945,144.41250228881836,149.54999923706055,100.9000015258789,0
2024-02-27,117.0,123.0,117.4000015258789,171000,119.6500015258789,121.51462158932435,123.07130605044719,38.748592260729254,-3.8851467748040704,-4.026937066020888,0.1417902912168172,112.43112717326889,-1.0,131.1797679243713,123.84000015258789,116.50023238080446,0.11853630107774374,7.177515144670156,8046000.0,28.79465308646777,7.520884142800867,21.912715744599115,125.0250015258789,134.99999618530273,145.66250228881836,149.54999923706055,97.0500030517578,1
2024-02-28,118.5500030517578,128.75,120.0999984741211,84000,119.0,121.2316969662837,122.69989260340643,42.62102728746337,-3.771467816161902,-3.975843216049091,0.2043753998871889,112.47434389428653,-1.0,130.68268408081903,123.44249992370605,116.20231576659309,0.11730456142061153,7.475549668202366,8130000.0,27.373905381294684,22.56265242840244,19.498596389409148,125.0250015258789,128.49999618530273,145.66250228881836,150.75,98.0,0
2024-02-29,112.0500030517578,120.0999984741211,115.9499969482422,111000,120.0999984741211,120.17535696267541,121.8561556465109,38.58329900183251,-3.9704776675390008,-3.974770106347073,0.004292438808072063,112.49448192616076,-1.0,130.02752235624294,122.73999977111816,115.45247718599337,0.11874731299834443,7.51658150778529,8019000.0,27.46369480862803,17.767628422285295,15.950388331162872,121.0250015258789,123.75,144.2125015258789,150.75,99.0,0
2024-03-01,112.0,117.0,115.4000015258789,51000,112.0,119.22028587531612,121.04913638143191,38.06857397184039,-4.12502373672622,-4.004820832422903,-0.12020290430331748,112.5004602385314,-1.0,130.02217529955539,122.2099998474121,114.39782439526881,0.12784838330563705,7.336825685800626,7968000.0,27.556850652846524,15.454552390288418,18.594944413658723,121.0,123.5,143.7125015258789,150.75,99.0,0
