date,open,high,low,close,volume,ema9,ema15,rsi,macd,macd_signal,macd_hist,vwap,supertrend_dir,adx,bb_upper,bb_mid,bb_lower,bb_width,atr,obv,stoch_k,stoch_d,ich_tenkan,ich_kijun,ich_senkou_a,ich_senkou_b,target
2021-06-24,537.1829260516618,546.9507386771139,532.3463958441412,545.4808349609375,1362412,539.8904411311767,535.5624974240088,64.18865550120348,8.492683966004961,7.788226631277302,0.7044573347276586,514.8587910589198,-1.0,36.181778226972234,560.11372567332,529.5393630981446,498.9650005229692,0.1154753157396648,9.275532169682299,27128157.0,81.38965336611044,70.31573577200338,541.9482337913109,524.9494329218381,514.1147246922585,514.328091002666,0
2021-06-25,545.5282958145639,545.7653789505111,533.8638171022855,535.2863159179688,1190963,538.9696160885351,535.5279747357538,54.80174921074561,7.667078968078613,7.7639970986375655,-0.0969181305589526,515.0044797469391,-1.0,35.03900742037386,559.1259785671614,531.153904724121,503.1818308810807,0.10532568279833558,9.463105718149684,25937194.0,40.84310945864229,61.58236135637318,541.9482337913109,524.9494329218381,514.1147246922585,515.2764448717921,1
2021-06-28,539.0795194567518,539.221734575937,535.1439171718989,537.7518310546875,794690,538.7260590817656,535.8059567756205,56.4601031038399,7.129542596358078,7.637106198181669,-0.5075636018235903,515.0968389143104,-1.0,33.97786309996068,559.0957705979171,532.4151779174805,505.7345852370439,0.10022476363198951,9.078442267141716,26731884.0,44.99088098032975,55.74121460169416,541.9482337913109,524.9494329218381,512.4551480345854,518.7141394329622,1
2021-06-29,535.9026897948079,541.0237086117936,532.536120888097,538.0364379882812,1761569,538.5881348630687,536.0847669272032,56.65779509435347,6.649851204711467,7.439655199487628,-0.789803994776161,515.2972988061857,-1.0,31.99931915573131,558.2925882313747,533.851904296875,509.4112203623753,0.09156353564640901,9.036238371181351,28493453.0,42.40161178629642,42.74520074175615,541.5689426655074,524.9494329218381,512.7159499183069,520.1129085394037,1
2021-06-30,539.1744576565904,543.8687153373969,534.3853898737981,539.3641357421875,1346860,538.7433350388925,536.4946880290762,57.62441517032721,6.3041560468416264,7.212555368958428,-0.9083993221168019,515.4619544162334,-1.0,31.013124161616947,555.9008960316928,535.5826110839844,515.2643261362759,0.0758735796391214,9.068173163496885,29840313.0,39.34815853930205,42.24688376864274,541.5689426655074,524.9494329218381,513.8065106188383,520.1129085394037,1
2021-07-01,542.8255674030605,560.8912906589688,540.4547360602478,559.2791137695312,5398923,542.8504907850203,539.3427412466331,68.8473245263121,7.5501292438902965,7.280070143944802,0.2700590999454944,516.4849442564573,-1.0,32.82867758293052,557.8948984407215,537.9036560058594,517.9124135709973,0.07433019728217136,9.958100431588633,35239236.0,94.55126616797672,58.767012164525056,546.0972399745965,529.0984391051237,513.1189948241198,520.1129085394037,1
2021-07-02,560.9860135698093,561.4127747215119,553.6838425925475,559.94287109375,2477693,546.2689668467663,541.9177574775226,69.14067737983481,8.49322701394999,7.5227015179458405,0.9705254960041501,516.9947576738792,-1.0,34.56513147397935,559.5966356442764,540.1037841796875,520.6109327150987,0.07218187331974016,9.798874124258331,37716929.0,95.11815388089127,76.33919286272334,546.357982005868,531.0898212245472,512.2536392506834,520.1129085394037,0
2021-07-05,562.7405288003999,562.9776119254623,556.197011396033,557.3350219726562,1196198,548.4821778719443,543.8449155394144,66.4914537913269,8.927298818280406,7.803620978012754,1.1236778402676517,517.2393347540733,-1.0,36.34066452461972,560.5151025431268,541.962515258789,523.4099279744513,0.0684644666817054,9.583283153199115,36520731.0,82.18565806907323,90.61835937264708,547.1404006078432,532.5835652905803,511.6135495781034,520.1129085394037,1
2021-07-06,558.2358105572267,564.6844583784269,557.6193714327617,561.2230224609375,1428646,551.0303467897429,546.0171789046047,68.43341738519449,9.475801851299252,8.138057152670054,1.3377446986291979,517.5439341364926,-1.0,38.171509007735125,562.8006995319924,543.6434295654296,524.4861595988668,0.07047733468193651,9.423722671239942,37949377.0,89.63060419173111,88.97813871389853,548.515427111284,533.531813501097,510.9022909197825,520.1129085394037,1
2021-07-07,560.2748111557794,565.2061515713164,557.714301912941,563.6888427734375,1255033,553.5620459864818,548.2261368882089,69.63533257807725,9.99425796362118,8.50929731486028,1.4849606487609002,517.8142738645788,-1.0,39.93047091551499,565.3098462174613,545.3409454345704,525.3720446516794,0.07323455518996289,9.285731741749615,39204410.0,95.52455391539463,89.1136053920663,548.8711362297067,533.7926600975417,510.03689578736254,520.1129085394037,1
2021-07-08,563.4991065439991,568.0510903494413,560.4644313798328,565.3009033203125,1845925,555.909817453248,550.3604826922218,70.4280720859791,10.415158517315035,8.890469555351231,1.524688961963804,518.2272003805729,-1.0,41.88280095270381,567.7208558441446,547.0550506591796,526.3892454742147,0.07555292711422619,9.164369400882391,41050335.0,92.51607044225584,92.5570761831272,550.2936056187691,537.230328060318,506.6703303681231,520.1129085394037,0
2021-07-09,565.2061994341234,573.7411923785984,561.7447624762139,564.8268432617188,2686530,557.6932226149422,552.1687777634089,69.85055012305185,10.588415886420194,9.230058821565024,1.35835706485517,518.8427697540134,-1.0,44.20296260703222,569.922617212485,548.4965179443359,527.0704186761868,0.07812665556545827,9.366659436703973,38363805.0,78.99441899187602,89.01168111650883,553.1386566333476,542.6121627372468,506.6703303681231,520.1129085394037,0
2021-07-12,566.154413330905,569.14168338806,561.1282634488459,562.5033569335938,1038327,558.6552494786725,553.460600159682,66.95265958432648,10.418143794599018,9.467675816171823,0.950467978427195,519.0642639279702,-1.0,46.02853807587907,571.4836761961602,549.6677062988281,527.8517364014959,0.07937875791985446,9.269999472597547,37325478.0,73.51940565705671,81.67663169706286,554.0632911261982,544.0583937016999,506.67034798165986,520.1129085394037,0
2021-07-13,563.4990271610828,564.5895745053646,555.343335188718,558.7099609375,934799,558.6661917704381,554.1167702569093,62.40093489460418,9.863407360639258,9.54682212506531,0.3165852355739478,519.2412425883532,-1.0,45.02783324164837,572.4119181872842,550.3481292724609,528.2843403576377,0.08018120800732699,9.268302318601048,36390679.0,63.68811372547753,72.06731279147009,557.0979642194231,548.5392163371278,508.2351027892875,520.1129085394037,0
2021-07-14,558.093758052381,558.093758052381,551.4554295793704,555.05908203125,1290445,557.9447698226005,554.2345592287019,58.293398163406,9.025143092387111,9.44248631852967,-0.4173432261425596,519.4549631183398,-1.0,42.711898567368806,572.7353894133371,550.57099609375,528.4066027741628,0.08051420607637313,9.12446153571023,35100234.0,54.66065299338297,63.956057458639066,562.5983109789844,549.6772472187567,513.3323643200033,520.1129085394037,0
2021-07-15,555.0589891431064,558.9945920889986,551.9769085821322,554.2529296875,1233095,557.2064017955804,554.2368555360516,57.395000121755245,8.201224255452985,9.194233905914334,-0.9930096504613495,519.6579740367688,-1.0,40.79752676393581,573.0734843419237,551.1044372558594,529.135390169795,0.07972734603790138,8.973977390792816,33867139.0,52.704213374211626,57.017660031024036,562.5983109789844,550.5307356385364,514.5533296631324,520.1129085394037,0
2021-07-16,554.6322229474598,558.42555283444,548.8000129751999,550.3173217773438,2229326,555.8285857919332,553.7469138162131,53.093039784973485,7.148290925928563,8.78504530991718,-1.6367543839886167,519.9930716054549,-1.0,37.9154836753692,573.1558868430651,551.2561706542969,529.3564544655286,0.07945386321125829,9.020517567110481,31637813.0,43.152942698576624,50.17260302205707,561.2706026768992,552.2614308029003,516.0232664001473,520.1129085394037,1
2021-07-19,548.894788669849,559.5161232640666,546.2394694916989,558.3781127929688,1953706,556.3384911921403,554.3258136883076,59.747800940026096,6.884907219702313,8.405017691874207,-1.5201104721718934,520.3006318864865,-1.0,35.96701841328527,573.7508489767495,552.0646209716797,530.3783929666099,0.07856409261255062,9.324527296057425,33591519.0,60.9636226225682,52.273592898452144,559.9903309351487,552.5221908344113,517.1849634453297,520.1129085394037,0
2021-07-20,560.4644622758226,561.83955586619,552.8778028879942,557.8091430664062,1877572,556.6326215669935,554.7612298605699,59.110338195178976,6.554704084560399,8.034954970411444,-1.4802508858510457,520.6147318163285,-1.0,33.45672924285716,573.7601088022554,553.0864471435547,532.4127854848539,0.07475743354575873,9.298614844781598,31713947.0,52.13654118098163,52.08436883404215,559.9903309351487,552.5221908344113,519.6506395202591,521.3457504307811,1
2021-07-22,560.1799514798513,564.637125266343,554.3476841585804,558.0462036132812,1191908,556.9153379762511,555.1718515796588,59.30515529962441,6.240211254960059,7.676006227321168,-1.4357949723611094,520.8193930978262,-1.0,32.01694250312531,573.4880752132893,554.1296142578125,534.7711533023356,0.06986979384381616,9.369388149280242,32905855.0,42.93088898500833,52.01035092951938,559.9903309351487,552.5221908344113,522.8394037532213,522.1518398464442,1
2021-07-23,560.3696355269329,563.4042528865543,555.3908904516834,559.6583862304688,666936,557.4639476270946,555.7326684110101,60.67728967764876,6.051307380661683,7.351066457989271,-1.2997590773275878,520.9343728889617,-1.0,30.679997673373876,573.8994927249363,554.838491821289,535.7774909176418,0.06870828604942311,9.27252916967958,33572791.0,48.793003965265086,47.95347804375168,557.6905764398794,552.5221908344113,527.5454806020407,522.5311517424916,1
2021-07-26,562.3611634930297,568.0511584018968,559.6584390639665,564.5897216796875,1527942,558.8891024376132,556.8398000695947,64.60821433844168,6.227727886711364,7.12639874373369,-0.8986708570223261,521.2264596991903,-1.0,30.78645636767442,573.4448268435962,556.303662109375,539.1624973751537,0.06162520904220831,9.209689384090186,35100733.0,66.72400948619507,52.81596747882282,557.1453139467978,552.5221908344113,529.2169347902188,522.5311517424916,0
2021-07-27,566.4863661633075,567.8614597928802,557.3823977909981,558.2833251953125,1585300,558.7679469891532,557.0202407103095,56.78973128945423,5.7919034595157655,6.859499686890105,-1.0675962273743398,521.5049763665522,-1.0,29.85122800730288,572.0866040628879,557.3302368164062,542.5738695699246,0.05295376518873496,9.300358856789607,33515433.0,43.793095265704075,53.10336957238807,557.1453139467978,552.5221908344113,531.4573461079328,522.5311517424916,1
2021-07-28,555.8650949995423,572.2712349935523,555.8650949995423,559.6109619140625,2559515,558.936549974135,557.3440808607786,57.94358222418681,5.490349319367965,6.585669613385678,-1.0953202940177125,521.9622023932783,-1.0,30.139225795279096,570.0527307842195,558.4089630126953,546.765195241171,0.04170336990546287,9.80791465230535,36074948.0,48.620562709125934,53.04588915367503,559.2553522426256,552.5221908344113,532.0263615487472,522.5311517424916,0
2021-07-29,560.8500901005887,565.6636284948364,554.9403734781242,557.2279663085938,2365089,558.5948332410268,557.3295665417555,55.09951918831914,5.001424354207643,6.268820561550071,-1.2673962073424283,522.3420925513841,-1.0,29.972184875607734,566.7956716399623,559.3021545410156,551.808637442069,0.026795952914198142,9.873296106905839,33709859.0,39.955667003281896,44.12310832603729,559.2553522426256,552.5221908344113,532.4531057586371,522.5311517424916,1
2021-07-30,559.7062519847431,575.3860450468974,556.7990701034187,572.5741577148438,3145307,561.3906981357902,559.2351404383916,66.50230278243546,5.785564800188013,6.17216940927766,-0.38660460908964733,522.9553812934739,-1.0,31.64948101427442,569.5259577881507,559.9669067382813,550.4078556884119,0.03414148563009775,10.495701738089616,36855166.0,90.35259793446829,59.6429425489587,560.8127572692981,553.8662204455193,533.3184533408191,522.5311517424916,0
2021-08-02,577.5306478204205,580.4854767298685,566.2354521598918,571.0013427734375,5788412,563.3128270633197,560.7059157302723,64.68907432605195,6.2085207690896596,6.17943968124006,0.029081087849599285,524.1459178398247,-1.0,33.79537183707762,571.2772231949664,560.5198303222656,549.7624374495649,0.03838362994762898,10.763867654652982,31066754.0,72.30586943889745,67.53804479221587,566.6816398089313,556.5107988089828,533.4488333565746,522.5311517424916,1
2021-08-03,574.4805488283187,590.779873800268,569.9053048166649,585.48974609375,13194079,567.7482108694057,563.8038945257069,72.2067387576594,7.624914220201731,6.468534589032395,1.1563796311693357,527.1489716256581,-1.0,36.58672069982819,577.3062694825139,561.9275665283203,546.5488635741267,0.05473553486333834,11.48606060672085,44260833.0,88.12285656421773,83.59377464586115,572.5637789794241,561.6579973441825,533.4488333565746,522.5311517424916,0
2021-08-04,586.2046680843512,587.0625518451859,559.2773804853546,560.5641479492188,5849144,566.3113982853683,563.3989262036459,51.78180139876643,6.6593637761224045,6.506700426450397,0.15266334967200734,528.0887132141055,-1.0,35.99274817789712,577.2825005930507,561.8946228027344,546.506745012418,0.05477140077816995,12.6502828033716,38411689.0,32.161087623382464,64.19660454216587,572.8601236391961,561.6579973441825,533.4488333565746,522.5311517424916,1
2021-08-05,565.6636464890105,568.5231812510975,558.4194568519596,561.9462280273438,3160815,565.4383642337634,563.2173389316082,52.58272645965854,5.937239602222576,6.392808261604833,-0.45556865938225766,528.5071248160272,-1.0,35.22618629072537,577.1723105339782,561.8074920654296,546.442673596881,0.05469780551362402,12.468385774497769,41572504.0,35.26406816335928,51.849337450319815,572.8601236391961,562.582631837033,533.2591877936727,522.5311517424916,0
2021-08-06,562.3751707487663,568.6184766868564,556.7513957703252,557.7999267578125,2452586,563.9106767385733,562.5401624098838,49.904584014805835,4.9730528735098005,6.108857183985828,-1.1358043104760274,528.8073476729803,-1.0,34.06688665001461,576.8044084662115,561.4324432373047,546.0604780083979,0.054759803834160216,12.425435427500158,39119918.0,25.954989510195293,31.126715098979005,572.8601236391961,565.6173049302579,533.2591877936727,522.5311517424916,0
2021-08-09,563.280726582465,566.1879087545659,552.1285288654584,554.511474609375,2261395,562.0308363127338,561.5365764348202,47.82415348422778,3.8986362864832245,5.666813004485308,-1.768176718002083,529.050230086995,-1.0,31.81842613496947,576.4998625060485,560.9166748046875,545.3334871033265,0.05556328917047909,12.542145746186398,36858523.0,6.165233701258185,22.46143045827091,571.4542013328632,568.5096716459834,537.5978395398602,526.6801579257772,0
2021-08-10,557.2757206934248,558.2288990008266,546.7430538547252,552.6527709960938,2070287,560.1552232494058,560.4261007549794,46.64062041431203,2.864155352722264,5.106281474132699,-2.2421261214104353,529.2301984317596,-1.0,30.506566956341498,576.4135670355416,560.4241455078125,544.4347239800833,0.05706185807978692,12.466695703323182,34788236.0,13.419945283658693,15.18005616503738,568.7614638274965,568.5096716459834,538.7239016152076,526.9408999570487,0
2021-08-11,554.7498055174256,555.1311001323799,543.9312544024318,548.1728515625,2320928,557.7587489120247,558.8944446059195,43.82545277612006,1.6636521551844226,4.417755610343044,-2.7541034551586216,529.3992139329806,-1.0,29.820604007081897,576.793236888146,559.8972900390625,543.0013431899789,0.06035373683591768,12.376206419510673,32467308.0,9.053835981888161,9.546338322268337,567.35556410135,567.35556410135,539.8619829492118,527.7233185590238,1
2021-08-12,549.0306849620795,557.4186421246343,547.1719756952205,548.4588012695312,2474432,555.898759383526,557.589989188871,44.05755831045081,0.7269387758489074,3.6795922434442168,-2.9526534675953093,529.5937028312147,-1.0,28.537934659338813,577.1067018329682,559.5672760009766,542.027850168985,0.06268924786787514,12.224096420218043,34941740.0,9.664205531100208,10.712662265549012,567.35556410135,567.35556410135,541.0236203061904,528.5767417855062,1
2021-08-13,552.55751109054,563.8050041878024,549.8409178376386,560.7548217773438,5318962,556.8699718622896,557.98559326243,53.04241709393829,0.9656414533363886,3.136802085422651,-2.1711606320862624,530.1351783321098,-1.0,27.203075173743795,577.2572091631899,559.8923706054687,542.5275320477475,0.06202920228736012,12.447104027221837,40260702.0,35.91048699218032,18.209509501722888,567.35556410135,567.35556410135,541.3318981636241,528.8375883819509,1
2021-08-16,560.6596093999342,564.9012653911635,555.7030695285224,560.8025512695312,1315500,557.656487743738,558.3377130133176,53.07392292969002,1.1454622404502288,2.7385341164281667,-1.5930718759779379,530.2768503719326,-1.0,26.201958326043044,577.1872426709128,560.4166320800781,543.6460214892434,0.05985050989148867,12.215039158323213,41576202.0,36.012367245645386,27.195686589641962,565.4969031238088,567.35556410135,543.7619668395436,530.2600577710134,1
2021-08-17,561.421945791858,569.8099021070925,560.8023567063653,568.6660766601562,4557665,559.8584055270217,559.6287584691725,58.06585048432706,1.9005835465242171,2.570944002447377,-0.6703604559231597,530.8524724028929,-1.0,26.26797934294448,578.0655397300802,560.9310302734375,543.7965208167948,0.06109310603938987,11.985932461352068,46133867.0,52.797334426495574,41.57339622144042,556.8705782547622,567.35556410135,547.8754096852972,533.1051087855919,1
2021-08-18,570.3342448670796,572.6218961877242,566.3309423220361,569.4287719726562,1992466,561.7724788161486,560.8537601571079,58.52668105658867,2.5313855229751425,2.56303230655293,-0.031646783577787385,531.1193743693607,-1.0,26.828721815611644,578.9854433612012,561.51201171875,544.0385800762989,0.062237071612993806,11.579148275947501,48126333.0,54.42533397547182,47.745011882537575,558.276575295078,567.35556410135,549.0608424139491,533.1051087855919,1
2021-08-20,566.8075249874134,587.1578593413572,562.6611642885532,583.0592041015625,4420438,566.0298238732314,563.6294406501647,65.76705417733956,4.084083816540556,2.867242608550455,1.2168412079901008,531.8218857079056,-1.0,29.06226055266862,582.6108276537269,562.762661743164,542.9144958326011,0.0705383184061268,12.501830188580104,52546771.0,83.51996323899013,63.58087721365249,565.5445568718944,567.35556410135,552.8185902782755,533.1051087855919,0
2021-08-23,585.9664591614877,592.8293557192325,577.4831475838398,581.3435668945312,3188046,569.0925724774914,565.8437064307105,64.24670436239359,5.1171831147383955,3.317230709788043,1.7999524049503526,532.3829652972453,-1.0,31.557652748522514,585.2864915906424,563.8469207763671,542.4073499620919,0.07604748744482308,12.70500004192386,49358725.0,76.51076725788658,71.48535482411616,568.3803050608321,568.3803050608321,556.1377790988706,533.1051087855919,0
2021-08-24,579.5323478620038,581.9152933713048,561.6126092675364,565.0916748046875,2295973,568.2923929429306,565.7497024774577,51.98670185467305,4.571828687473044,3.5681503053250436,1.0036783821480002,532.6691294841403,-1.0,30.213867160563677,585.3164251178536,563.8720184326172,542.4276117473809,0.0760612549806642,13.247691760627037,47062752.0,43.27452361620022,67.76841803769231,568.3803050608321,568.3803050608321,556.5645233087604,533.1051087855919,1
2021-08-25,565.2347158340926,573.6226730002008,564.4245375730752,572.0022583007812,1533202,569.0343660145008,566.5312719553732,55.8451575329399,4.643727706398408,3.783265785539717,0.8604619208586914,532.8602206360503,-1.0,28.966066257458813,586.126968665511,564.5579650878906,542.9889615102702,0.07641023565847198,12.958437736805509,48595954.0,57.40714494500679,59.06414527303119,570.0006657072265,568.3803050608321,556.7660167398998,533.1051087855919,1
2021-08-26,571.8592865599963,580.6761851232964,570.9061083369369,577.1494140625,1793401,570.6573756241007,567.8585397187641,58.51901534364147,5.057738192743045,4.038160266980383,1.019577925762662,533.1183239813097,-1.0,28.78006401842574,587.575566996042,565.4348876953125,543.2942083945829,0.0783138068857761,12.730697668916507,50389355.0,67.93343456177712,56.20503437432803,571.3351367784355,568.3803050608321,556.25626088478,533.1051087855919,1
2021-08-27,579.532369738193,583.9169663698644,576.7204822955986,580.2472534179688,1477611,572.5753511828743,569.4071289311646,60.08564155161697,5.571588429002077,4.3448458993847225,1.2267425296173542,533.348443131677,-1.0,29.009272597579223,589.3156341379439,566.5858520507812,543.8560699636186,0.08023420283047049,12.335396697870033,51866966.0,74.26873035453634,66.53643662044009,574.2662126238774,568.3803050608321,556.25626088478,533.1051087855919,1
2021-08-30,581.4387878987004,588.635272736395,581.4387878987004,587.8727416992188,1299450,575.6348292861433,571.7153305271713,63.718093507659376,6.518984819686466,4.779673683445072,1.739311136241394,533.5732614623008,-1.0,29.774766737603056,591.8870004620318,567.35078125,542.8145620379681,0.08649399991295949,12.053441170766906,53166416.0,89.86338142663104,77.35518211431481,576.815856212799,568.3803050608321,556.25626088478,533.1051087855919,1
2021-08-31,587.1578487970132,594.6402753849161,581.4387788411982,592.4003295898438,3026655,578.9879293468833,574.3009554100054,65.71326734772148,7.548131626230429,5.333365272002144,2.214766354228285,534.1241159758041,-1.0,31.10187433321998,595.3744187226179,568.4207305908203,541.4670424590228,0.09483710456434959,12.135445125977691,56193071.0,95.58274691214874,86.5716195644387,578.1264423262262,569.285764893674,555.1063836371453,533.6267125530351,1
2021-09-01,592.8769702781937,598.3100988438744,586.824310653224,596.927978515625,2467985,582.5759391806317,577.1293332982078,67.63025976215184,8.62960460405543,5.992613138412802,2.6369914656426285,534.6014018726631,-1.0,32.672415338811994,597.8868282215766,568.992642211914,540.0984562022514,0.10156259981617205,12.0890410591686,58661056.0,97.29727990929788,94.24780274935921,579.9613540557054,571.120676623153,554.8337523906046,535.5233899649385,1
2021-09-02,597.1662734485584,613.7516010419497,595.2122693448997,610.8443603515625,3017389,588.229623414818,581.3437116798772,72.68534308754492,10.488708142208907,6.891832139172023,3.5968760030368836,535.2960976305482,-1.0,35.1628881003707,605.595617668664,571.5066528320312,537.4176879953985,0.11929507615599247,12.549776104731558,61678445.0,95.45108807366567,96.11037163170408,587.6821051547431,578.8414277221907,554.8337523906046,535.5233899649385,1
2021-09-03,613.0842340404469,613.8467649701511,604.3149829053972,611.2255249023438,1676263,592.8288037123232,585.0789383326855,72.81058790716915,11.856147594759591,7.8846952302895374,3.9714523644700535,535.6932869864487,-1.0,37.48053750870304,612.0412939401481,573.9706176757812,535.8999414114144,0.1326572304990887,12.33420510187601,63354708.0,95.49178969793152,96.08005256029837,587.7296871188437,578.8890096862915,555.8887715385184,535.5233899649385,0
2021-09-06,611.2254640686278,615.181176502751,604.0766282315678,605.0774536132812,1420648,595.2785336925149,587.57875274276,67.43918866607095,12.30194606478426,8.768145397188484,3.533800667595777,536.0190329528363,-1.0,39.71165777049386,616.0145927777805,576.3344940185547,536.6543952593288,0.13769815678581096,12.246372471112235,61934060.0,81.4197459095596,90.78754122705224,589.8028570379131,579.5562154525915,555.8887715385184,535.5233899649385,1
