date,low,high,close,volume,open,ema9,ema15,rsi,macd,macd_signal,macd_hist,vwap,supertrend_dir,bb_upper,bb_mid,bb_lower,bb_width,atr,obv,adx,stoch_k,stoch_d,ich_tenkan,ich_kijun,ich_senkou_a,ich_senkou_b,ich_chikou,target
2021-06-24,6209.419787974879,6267.916158814545,6247.05615234375,10314,6243.377552440366,6234.6554662089675,6240.212573295975,50.74377301144511,-4.6637887805263745,0.12428189094051079,-4.788070671466885,6203.165849334664,-1.0,6324.177577030667,6250.2315673828125,6176.285557734958,0.02366184639741813,88.35674785355104,232890.0,35.26091902460995,54.644908737200154,51.417097035143705,6232.2801258071595,6232.2801258071595,6236.504786017893,6182.5040139666,6919.37939453125,0
2021-06-25,6207.923282697557,6244.629926143777,6224.21484375,27427,6225.589482458523,6232.567341717175,6238.212857102728,47.95929805434378,-5.404841641784515,-0.9815428156044943,-4.42329882618002,6203.503439742433,-1.0,6324.197484766023,6249.4796142578125,6174.761743749602,0.023911709492657612,84.84075655302549,205463.0,33.11488692787679,47.46464321765579,51.87450722450736,6232.2801258071595,6232.2801258071595,6241.558174023273,6174.862532987483,6933.36669921875,0
2021-06-28,6156.785775503764,6253.888899953112,6164.91162109375,18491,6253.888899953112,6219.036197592491,6229.050202601606,41.57981981840405,-10.654586384388494,-2.9161515293612945,-7.7384348550272,6203.38646667708,-1.0,6329.349810712695,6245.594775390625,6161.839740068554,0.026820515366154436,85.71663997419137,186972.0,31.972281743102023,28.82241512074861,43.64398902520151,6197.9177541308,6232.2801258071595,6246.611271424445,6174.862532987483,6952.40771484375,0
2021-06-29,6145.546703139491,6193.249275891133,6160.62548828125,17428,6169.802248606427,6207.354055730242,6220.497113311561,41.153737377477384,-14.988128200423489,-5.330546863573733,-9.657581336849756,6203.040167412668,-1.0,6331.976136548362,6240.507153320313,6149.0381700922635,0.02931459927239436,83.001349458295,169544.0,31.21370216800718,27.4750504757036,34.587369604702666,6189.408620050794,6232.2801258071595,6246.611271424445,6173.145200596493,7121.185546875,1
2021-06-30,6151.893349022315,6265.894407142692,6203.1533203125,24000,6193.248973064453,6206.513908646694,6218.329139186679,46.96132779950741,-14.82001478085931,-7.22844044703085,-7.5915743338284605,6203.090422792786,-1.0,6325.67787967603,6236.08251953125,6146.48715938647,0.028734501143680567,85.21561436272943,193544.0,29.85025567509638,40.84386096664516,32.38044218769912,6185.790386674276,6232.2801258071595,6246.611083130056,6173.145200596493,7094.9892578125,0
2021-07-01,6185.16318236395,6247.419073219116,6193.89501953125,4728,6241.759446777738,6203.990130823606,6215.27487422975,45.89932390713198,-15.257966838898028,-8.834345725404287,-6.423621113493741,6203.104797547473,-1.0,6321.066552891827,6231.872119140625,6142.677685389423,0.02862524520593043,83.57563411218922,188816.0,28.58419821739322,37.93347351680483,35.41746165305119,6207.398454120115,6232.2801258071595,6246.611083130056,6173.145200596493,7246.6689453125,1
2021-07-02,6190.338793909933,6229.632858189048,6223.64990234375,8072,6193.330469224725,6207.922085127635,6216.321752744,49.82642791742658,-13.053602821390086,-9.678197144601446,-3.37540567678864,6203.153522837769,-1.0,6316.519309378265,6229.40615234375,6142.292995309236,0.027968366455520758,80.41266483839824,196888.0,27.40857343524002,47.287051409235076,42.021461964228344,6221.54757382945,6232.2801258071595,6246.611083130056,6173.145200596493,7445.1181640625,1
2021-07-05,6177.079179896971,6287.846175662139,6264.03515625,9783,6229.6328640191305,6219.144699352109,6222.28592818225,54.63924386427438,-7.956162292971385,-9.333790174275435,1.3776278813040506,6203.358163221185,-1.0,6318.128304383891,6230.101489257812,6142.074674131733,0.028258549327922437,82.5808313331675,206671.0,27.908129263215972,76.51190782793088,53.91081091799026,6221.54757382945,6232.2801258071595,6234.473170444154,6173.145200596493,7133.23193359375,0
2021-07-06,6217.504792210389,6282.428644025485,6250.61376953125,7114,6278.143655593455,6225.438513387938,6225.826908350875,52.82569723768374,-4.942424497068714,-8.455517038834092,3.5130925417653778,6203.532439389542,-1.0,6314.82640041645,6228.846264648438,6142.866128880425,0.02760708231185218,81.31961851044811,199557.0,28.372002532049883,76.33960233369893,66.71285385695495,6216.6964394008155,6232.2801258071595,6234.473170444154,6170.54036145618,7137.1142578125,0
2021-07-07,6209.419680403701,6271.675580845248,6248.6328125,17282,6264.398917157276,6230.077373210351,6228.677646369515,52.54846328690588,-2.682935052661378,-7.30100064159955,4.618065588938172,6203.888268085448,-1.0,6314.002845721484,6228.466284179687,6142.92972263789,0.027466332043591023,79.95792436266946,182275.0,28.372874325296277,77.91348778835021,76.92166598332666,6216.6964394008155,6232.2801258071595,6233.523068293925,6158.923907286633,6947.75830078125,1
