date,open,high,close,volume,low,ema9,ema15,rsi,macd,macd_signal,macd_hist,vwap,supertrend_dir,bb_upper,bb_mid,bb_lower,bb_width,atr,obv,adx,stoch_k,stoch_d,ich_tenkan,ich_kijun,ich_senkou_a,ich_senkou_b,ich_chikou,target
2021-06-24,1.858402967453003,1.9448399543762207,1.90162205696106,4833080,1.7719659805297852,1.8569548797546498,1.796885947708063,65.76674633910218,0.12949919609984906,0.12673770188889436,0.0027614942109547014,1.4217261921424098,-1.0,2.1444310997182328,1.7097080528736115,1.27498500602899,0.5085348297781354,0.0977433449038753,-24030242.0,53.687558879596246,64.09701073650133,62.58771501217791,1.9232310056686401,1.7088035345077515,1.3431115001440048,1.4055819809436798,1.9448399543762207,1
2021-06-25,1.9448399543762207,1.9448399543762207,1.9448399543762207,1980734,1.858402967453003,1.874531894678964,1.8153801985415827,67.82506879651673,0.12923141039784558,0.12723644359068462,0.001994966807160964,1.4239600552073899,-1.0,2.15867842891616,1.7366709530353546,1.3146634771545491,0.48599589360197537,0.09693574790525691,-22049508.0,53.33354280664909,69.05826966771673,65.1958448463137,1.9232310056686401,1.7088035345077515,1.3431115001440048,1.4055819809436798,2.031277894973755,0
2021-06-28,1.9448399543762207,1.9448399543762207,1.858402967453003,2707005,1.858402967453003,1.871306109233772,1.8207580446555103,60.04849920285267,0.12065362594345119,0.12591988006123794,-0.0052662541177867506,1.4268036901502714,-1.0,2.149597298612544,1.7608737528324128,1.3721502070522815,0.44151211310042343,0.09618583640653984,-24756513.0,53.004813596054234,44.44451253875915,59.199930980992406,1.9232310056686401,1.7088035345077515,1.350920245051384,1.4055819809436798,2.074496030807495,0
2021-06-29,1.90162205696106,1.90162205696106,1.7719659805297852,3176698,1.7719659805297852,1.8514380834929747,1.8146590366397946,53.4488497694769,0.10566291123523897,0.12186848629603815,-0.016205575060799185,1.4295813631989263,-1.0,2.1242869793978425,1.78075470328331,1.4372224271687775,0.3858277341195226,0.09857656783687806,-27933211.0,50.0287393115064,12.500099122249656,42.000960442908514,1.8800125122070312,1.7088035345077515,1.3587292581796646,1.4055819809436798,2.074496030807495,0
2021-06-30,1.728747010231018,1.7719659805297852,1.7719659805297852,1674971,1.685528039932251,1.8355436629003368,1.8093224046260434,53.44884976215807,0.092713913543788,0.11603757174558813,-0.02332365820180013,1.430759395312792,-1.0,2.0940062974793485,1.7990739047527313,1.5041415120261141,0.3278713475094952,0.09770952303406778,-27933211.0,47.43352360865165,22.222378859713295,26.388996840240708,1.8367935419082642,1.7088035345077515,1.3977730125188828,1.374346524477005,2.031277894973755,0
2021-07-01,1.7719659805297852,1.815183997154236,1.728747010231018,1649587,1.685528039932251,1.814184332366473,1.7992504803266653,50.2465005257779,0.07806445147059815,0.10844294769059014,-0.030378496219991988,1.4319109540937638,-1.0,2.065569581511241,1.8121086537837983,1.5586477260563558,0.27974142409641156,0.0999914111903476,-29582798.0,44.091159549072,11.111189429856648,15.277889137273206,1.8151839971542358,1.7088035345077515,1.405581995844841,1.3587290346622467,2.031277894973755,1
2021-07-02,1.728747010231018,1.815183997154236,1.815183997154236,1928618,1.728747010231018,1.8143842653240256,1.8012421699301115,55.93310086376801,0.07259258753282172,0.10127287565903646,-0.028680288126214745,1.4334320456732705,-1.0,2.0424403593139866,1.8263417541980744,1.6102431490821623,0.2366464048772364,0.09902323802840977,-27654180.0,40.98753577946231,33.33332310890256,22.222297132824178,1.8151839971542358,1.7088035345077515,1.405581995844841,1.3587290346622467,1.9880590438842771,1
2021-07-05,1.90162205696106,1.90162205696106,1.90162205696106,2430853,1.815183997154236,1.8318318236514326,1.81378965580898,60.7627710680157,0.07437359249456321,0.09589301902614182,-0.02151942653157861,1.4357957584323024,-1.0,2.0299899245854993,1.8417732059955596,1.6535564874056201,0.20438642278757752,0.09812429672686793,-25223327.0,39.69740426545915,55.55573261619934,33.33341505165286,1.8151839971542358,1.7088035345077515,1.382155492901802,1.3587290346622467,1.90162205696106,1
2021-07-06,1.9448399543762207,1.9880590438842771,1.9880590438842771,1914814,1.90162205696106,1.8630772676980016,1.8355733293183922,64.90496097824006,0.08181666266080478,0.09307774775307442,-0.01126108509226964,1.4380045994345947,-1.0,2.0357687161655424,1.8584030091762542,1.681037302186966,0.19087970273828,0.09728948888375001,-23308513.0,39.67046954702274,99.99999996694554,62.96301856401582,1.8367935419082642,1.7088035345077515,1.3977727591991425,1.311876505613327,1.9880590438842771,1
2021-07-07,2.074496030807495,2.074496030807495,2.031277894973755,3170702,1.9448399543762207,1.8967173931531525,1.8600364000253125,66.79262420361562,0.0901634019074673,0.092494878583953,-0.0023314766764857,1.4420213217073992,-1.0,2.04947266721181,1.8756905019283294,1.7019083366448486,0.18529940317505106,0.09960138799428747,-20137811.0,40.49960705803174,88.8890250775183,81.48158588688773,1.880012035369873,1.7088035345077515,1.4055815041065216,1.311876505613327,1.9448399543762207,0
