date,close,high,low,open,volume
2023-03-09,42.0,42.0,38.099998474121094,40.0,1404000
2023-03-10,44.099998474121094,44.099998474121094,43.5,44.099998474121094,510000
2023-03-13,45.95000076293945,46.29999923706055,44.0,46.29999923706055,801000
2023-03-14,44.04999923706055,46.0,43.650001525878906,45.0,216000
2023-03-15,41.849998474121094,43.099998474121094,41.849998474121094,42.25,225000
2023-03-16,42.75,43.900001525878906,39.75,41.0,132000
2023-03-17,43.75,44.79999923706055,41.04999923706055,41.04999923706055,123000
2023-03-20,43.0,43.849998474121094,41.599998474121094,43.849998474121094,75000
2023-03-21,41.099998474121094,43.0,41.04999923706055,43.0,48000
2023-03-22,42.599998474121094,42.75,40.45000076293945,40.45000076293945,18000
2023-03-23,41.79999923706055,42.599998474121094,41.400001525878906,42.599998474121094,42000
2023-03-24,38.400001525878906,41.0,37.04999923706055,41.0,72000
2023-03-27,37.5,37.95000076293945,37.25,37.95000076293945,39000
2023-03-28,35.95000076293945,37.04999923706055,35.5,37.04999923706055,45000
2023-03-29,39.75,40.45000076293945,36.150001525878906,36.150001525878906,144000
2023-03-31,43.0,43.0,40.0,40.29999923706055,57000
2023-04-03,42.5,44.0,40.70000076293945,44.0,75000
2023-04-05,43.0,44.0,42.29999923706055,43.5,84000
2023-04-06,51.599998474121094,51.599998474121094,44.099998474121094,45.29999923706055,420000
2023-04-10,56.75,56.75,52.5,55.0,267000
2023-04-11,62.400001525878906,62.400001525878906,60.54999923706055,62.400001525878906,333000
2023-04-12,68.55000305175781,68.5999984741211,66.05000305175781,68.0,717000
2023-04-13,71.94999694824219,71.94999694824219,65.1500015258789,69.5,678000
2023-04-17,75.1500015258789,75.5,69.5999984741211,75.5,339000
2023-04-18,77.6500015258789,78.25,74.30000305175781,75.5,156000
2023-04-19,73.8499984741211,78.0999984741211,73.80000305175781,76.0,135000
2023-04-20,73.80000305175781,76.80000305175781,72.4000015258789,73.80000305175781,66000
2023-04-21,70.5999984741211,75.05000305175781,70.3499984741211,75.05000305175781,135000
2023-04-24,74.0999984741211,74.0999984741211,72.30000305175781,72.30000305175781,84000
2023-04-25,77.80000305175781,77.80000305175781,75.19999694824219,76.8499984741211,129000
2023-04-26,81.3499984741211,81.6500015258789,77.9000015258789,80.80000305175781,147000
2023-04-27,79.94999694824219,82.5,77.30000305175781,82.0,159000
2023-04-28,75.94999694824219,78.30000305175781,75.94999694824219,78.30000305175781,69000
2023-05-02,72.1500015258789,75.94999694824219,72.1500015258789,75.94999694824219,102000
2023-05-03,72.19999694824219,74.5,68.55000305175781,69.55000305175781,165000
2023-05-04,69.9000015258789,72.0999984741211,69.3499984741211,69.75,21000
2023-05-05,70.25,71.25,68.05000305175781,71.25,45000
2023-05-08,70.5999984741211,71.9000015258789,69.5,71.9000015258789,63000
2023-05-09,73.94999694824219,74.0999984741211,68.0,69.0,240000
2023-05-10,77.5999984741211,77.5999984741211,75.5999984741211,75.9000015258789,96000
2023-05-11,81.44999694824219,81.44999694824219,81.4000015258789,81.44999694824219,96000
2023-05-12,84.3499984741211,84.8499984741211,80.6500015258789,84.8499984741211,150000
2023-05-15,88.3499984741211,88.55000305175781,82.6500015258789,82.6500015258789,126000
2023-05-16,87.0,92.75,85.4000015258789,90.9000015258789,210000
2023-05-17,83.55000305175781,85.94999694824219,82.6500015258789,85.0,102000
2023-05-18,82.9000015258789,83.80000305175781,79.5999984741211,83.80000305175781,78000
2023-05-19,83.80000305175781,83.80000305175781,81.5,82.05000305175781,18000
2023-05-22,86.30000305175781,87.94999694824219,85.0,86.80000305175781,156000
2023-05-23,83.5999984741211,89.0,83.5999984741211,86.80000305175781,30000
2023-05-24,81.0,85.94999694824219,81.0,85.9000015258789,33000
2023-05-25,82.0999984741211,82.94999694824219,82.0999984741211,82.0999984741211,15000
2023-05-26,78.0,81.0999984741211,78.0,81.0999984741211,42000
2023-05-29,74.0999984741211,77.5,74.0999984741211,74.19999694824219,93000
2023-05-30,74.0999984741211,74.0999984741211,71.0,72.0,45000
2023-05-31,70.4000015258789,74.0,70.4000015258789,71.05000305175781,183000
2023-06-01,73.8499984741211,73.9000015258789,66.9000015258789,72.0,372000
2023-06-02,71.0999984741211,72.5,70.6500015258789,72.5,51000
2023-06-05,72.6500015258789,73.9000015258789,70.75,72.9000015258789,120000
2023-06-06,74.5999984741211,74.5999984741211,71.5,71.5,30000
2023-06-07,74.3499984741211,74.55000305175781,71.05000305175781,72.5,48000
2023-06-08,71.30000305175781,72.0,69.0,72.0,36000
2023-06-09,70.69999694824219,70.69999694824219,67.0,69.05000305175781,105000
2023-06-12,77.3499984741211,77.75,70.0,70.0,288000
2023-06-13,78.0,79.80000305175781,78.0,78.80000305175781,63000
2023-06-14,78.0,78.9000015258789,76.25,78.0,15000
2023-06-15,79.69999694824219,82.0,73.19999694824219,79.80000305175781,183000
2023-06-16,84.9000015258789,87.5,82.5,82.5,201000
2023-06-19,81.94999694824219,85.6500015258789,78.0999984741211,85.6500015258789,45000
2023-06-20,81.6500015258789,82.80000305175781,79.0,81.9000015258789,54000
2023-06-21,79.5,82.44999694824219,79.05000305175781,81.0,24000
2023-06-22,78.4000015258789,79.0,78.4000015258789,79.0,12000
2023-06-23,78.75,79.5,76.5,78.0,27000
2023-06-26,80.5999984741211,83.0,77.0,79.25,120000
2023-06-27,79.75,85.0,79.5,83.0,36000
2023-06-28,79.5,82.19999694824219,79.5,80.0,21000
2023-06-30,80.94999694824219,82.8499984741211,80.0,82.8499984741211,21000
2023-07-03,83.5,83.94999694824219,81.0,82.0,42000
2023-07-04,84.0,84.80000305175781,82.0,84.80000305175781,36000
2023-07-05,92.4000015258789,92.4000015258789,85.30000305175781,85.30000305175781,138000
2023-07-06,101.5999984741211,101.5999984741211,94.0,96.94999694824219,336000
