date,close,high,low,open,volume
2023-10-05,70.80000305175781,74.55000305175781,67.44999694824219,71.0,3726000
2023-10-06,74.30000305175781,74.30000305175781,67.30000305175781,67.30000305175781,1410000
2023-10-09,74.5,78.0,70.9000015258789,78.0,801000
2023-10-10,78.19999694824219,78.19999694824219,74.5,74.5,537000
2023-10-11,82.0999984741211,82.0999984741211,82.0999984741211,82.0999984741211,15000
2023-10-12,86.19999694824219,86.19999694824219,86.19999694824219,86.19999694824219,21000
2023-10-13,90.5,90.5,82.6500015258789,90.5,816000
2023-10-16,95.0,95.0,89.19999694824219,94.94999694824219,315000
2023-10-17,98.9000015258789,99.75,95.05000305175781,99.75,333000
2023-10-18,95.25,98.69999694824219,93.94999694824219,94.25,405000
2023-10-19,99.75,102.69999694824219,89.25,94.0,321000
2023-10-20,110.5,119.69999694824219,97.05000305175781,97.05000305175781,705000
2023-10-23,104.69999694824219,122.0,104.19999694824219,118.0,264000
2023-10-25,114.4000015258789,120.69999694824219,108.5,114.0,306000
2023-10-26,117.4000015258789,118.0,109.0,115.9000015258789,126000
2023-10-27,135.8000030517578,140.85000610351562,121.0,121.80000305175781,690000
2023-10-30,162.9499969482422,162.9499969482422,139.0,139.0,813000
2023-10-31,152.8000030517578,171.0,146.64999389648438,164.1999969482422,441000
2023-11-01,141.5,156.9499969482422,138.35000610351562,154.9499969482422,225000
2023-11-02,128.3000030517578,142.3000030517578,127.3499984741211,142.3000030517578,141000
2023-11-03,134.5,134.6999969482422,124.0999984741211,128.3000030517578,525000
2023-11-06,141.1999969482422,141.1999969482422,131.5,135.0,81000
2023-11-07,148.25,148.25,139.0,148.25,201000
2023-11-08,153.85000610351562,155.64999389648438,151.8000030517578,152.35000610351562,231000
2023-11-09,146.6999969482422,161.4499969482422,146.14999389648438,157.8000030517578,270000
2023-11-10,139.39999389648438,143.5,139.39999389648438,141.5,120000
2023-11-13,139.9499969482422,141.1999969482422,134.5,136.0,129000
2023-11-15,146.89999389648438,146.89999389648438,144.64999389648438,144.6999969482422,144000
2023-11-16,154.1999969482422,154.1999969482422,151.89999389648438,151.89999389648438,87000
2023-11-17,157.8000030517578,161.89999389648438,157.0,161.89999389648438,309000
2023-11-20,149.9499969482422,153.1999969482422,149.9499969482422,152.0500030517578,93000
2023-11-21,154.0,157.35000610351562,145.3000030517578,147.5,120000
2023-11-22,161.64999389648438,161.6999969482422,155.0500030517578,160.8000030517578,219000
2023-11-23,162.89999389648438,165.1999969482422,159.10000610351562,163.3000030517578,96000
2023-11-24,163.35000610351562,170.1999969482422,160.1999969482422,160.1999969482422,147000
2023-11-28,171.5,171.5,165.0,166.5,327000
2023-11-29,166.5,175.0,165.0,174.39999389648438,69000
2023-11-30,161.4499969482422,169.8000030517578,161.39999389648438,165.0,36000
2023-12-01,162.1999969482422,166.9499969482422,153.39999389648438,160.10000610351562,201000
2023-12-04,162.9499969482422,167.64999389648438,159.0,167.60000610351562,69000
2023-12-05,165.6999969482422,167.0,160.0,162.5,60000
2023-12-06,159.5,164.0,158.25,160.25,69000
2023-12-07,160.5500030517578,164.0,157.5,159.0,57000
2023-12-08,161.9499969482422,164.89999389648438,157.5,163.0,48000
2023-12-11,154.64999389648438,161.0,150.0,161.0,51000
2023-12-12,159.8000030517578,168.0,155.0,158.5,135000
2023-12-13,161.0,163.0,158.0,163.0,18000
2023-12-14,164.85000610351562,172.85000610351562,164.0500030517578,171.89999389648438,42000
2023-12-15,162.35000610351562,167.0,160.60000610351562,163.0,42000
2023-12-18,158.6999969482422,162.0,158.6999969482422,160.0,60000
2023-12-19,158.0,158.0,156.0,156.0,18000
2023-12-20,158.0,165.0,158.0,165.0,12000
2023-12-21,155.8000030517578,158.0,150.14999389648438,150.14999389648438,33000
2023-12-22,159.0,159.0,159.0,159.0,3000
2023-12-26,155.0,155.0,155.0,155.0,6000
2023-12-27,151.0,156.60000610351562,148.0,152.5500030517578,36000
2023-12-28,146.35000610351562,152.0,141.85000610351562,141.85000610351562,57000
2023-12-29,145.0,146.0,145.0,146.0,9000
2024-01-01,140.0,140.0,136.14999389648438,137.75,33000
2024-01-02,138.5500030517578,147.5,137.0,142.0,48000
2024-01-03,138.5,140.0,130.25,137.0,150000
2024-01-04,138.5,142.0,138.5,142.0,15000
2024-01-05,133.5,137.0,132.1999969482422,134.60000610351562,42000
2024-01-08,138.64999389648438,139.8000030517578,133.5,133.5500030517578,42000
2024-01-09,130.5,141.0,126.5,141.0,75000
2024-01-10,135.35000610351562,137.0,133.0,133.0,60000
2024-01-11,133.0,142.0,133.0,142.0,66000
2024-01-12,127.5999984741211,137.8000030517578,126.55000305175781,126.55000305175781,45000
2024-01-15,127.5999984741211,127.5999984741211,127.5999984741211,127.5999984741211,0
2024-01-16,143.0500030517578,143.0500030517578,130.25,133.0,393000
2024-01-17,144.0,151.8000030517578,140.0,140.64999389648438,114000
2024-01-18,150.0500030517578,156.8000030517578,144.0,144.0,93000
2024-01-19,150.8000030517578,154.89999389648438,149.0500030517578,151.0,204000
