date,close,high,low,open,volume
2021-03-01,760.57666015625,763.928508645122,748.5592042953809,748.8453151883499,5397960
2021-03-02,779.7068481445312,783.0995636943205,759.14627538789,763.4382396896029,6715548
2021-03-03,789.1080322265625,791.356203258547,774.1883517415744,788.9036530418366,5742015
2021-03-04,783.1810913085938,792.9095611490993,777.7445846511466,778.2759905279553,6268541
2021-03-05,769.6920166015625,794.6262773624203,765.4409195415703,781.627741138019,5992152
2021-03-08,786.3695068359375,795.4439242450873,771.7359347249356,778.6848282049801,5621823
2021-03-09,795.5665283203125,798.6322164530312,775.9052085113285,788.1679610422036,5440319
2021-03-10,808.1152954101562,813.5108859213649,800.9211580961241,805.8262585235,7694950
2021-03-12,800.5534057617188,819.8059183308359,795.9344154249154,808.1154369113699,6447010
2021-03-15,811.2628784179688,812.8979122233335,790.8249558509089,799.1227723720439,5321071
2021-03-16,823.4439086914062,832.8862190349954,809.7096345646154,811.7942927084302,8094575
2021-03-17,807.2571411132812,837.0556446162849,803.3739355100753,827.3271727251324,6758901
2021-03-18,774.801513671875,817.3123854322944,762.2526512938103,813.429180800333,8269566
2021-03-19,785.1840209960938,792.1737796607056,766.5855137852774,776.6409604516722,9004154
2021-03-22,800.1447143554688,803.1695370481959,772.2264905700054,785.184164158469,4745254
2021-03-23,801.8613891601562,811.7125072039692,794.4628715844003,804.1504762773735,5158305
2021-03-24,797.6102905273438,805.0496734917939,789.5577200620544,793.8496832870677,3874331
2021-03-25,782.4044189453125,796.6700966377763,776.6409356653539,792.9912711530457,4879437
2021-03-26,783.6307983398438,797.0789610467012,779.7475931450008,788.903792215453,4271178
2021-03-30,814.083251953125,818.1708361162731,788.4541192090934,788.9037434875861,5475000
2021-03-31,803.3328857421875,817.5167819501162,800.0628186143871,817.5167819501162,4445140
2021-04-01,819.6423950195312,828.5533488735769,809.8321925661687,810.9767361446357,5269079
2021-04-05,844.903564453125,850.2174233490566,819.6422768197143,823.2393704927885,9452833
2021-04-06,840.7343139648438,850.7079792073498,834.0715319521172,849.3999722599851,4260257
2021-04-07,847.9285888671875,854.3052613578241,837.7096264107543,842.8600234066188,3551106
2021-04-08,848.1737670898438,861.9898223873721,843.3913132776912,853.4876268354668,4852068
2021-04-09,854.6321411132812,862.3168195176174,845.4350764844437,851.9342955710069,3708082
2021-04-12,825.2015380859375,852.6291688503495,818.4978898573835,852.6291688503495,5976427
2021-04-13,803.946044921875,834.5211434496687,794.789846738654,827.7357639566867,7773994
2021-04-15,810.89501953125,813.1840568335809,783.7943147897798,791.3563459885339,7430279
2021-04-16,827.9401245117188,831.2510575135271,813.0204431764051,817.5167854966367,4677808
2021-04-19,813.102294921875,840.7752222369602,807.5840558051997,814.2468385494276,6239343
2021-04-20,785.87890625,822.4219179515553,782.3635939161416,822.4219179515553,9742418
2021-04-22,786.3695068359375,794.5446756359897,780.9738654895407,789.7213060850507,4970596
2021-04-23,781.2599487304688,796.9562313495829,776.804472197565,788.086194041528,6023490
2021-04-26,759.3095703125,780.3197614003758,754.6088488582809,768.4657681679971,19619972
2021-04-27,759.3505859375,767.2805101950354,754.895158554748,761.1082673085614,6406825
2021-04-28,755.2221069335938,765.0731756603552,753.5462072576338,761.2717519900957,6845677
2021-04-29,756.677734375,773.4410514283386,754.6395069978485,773.4410514283386,8588734
2021-04-30,747.8595581054688,761.2119543627185,744.9062322630102,752.8926980308855,10921664
2021-05-03,755.1388549804688,757.4266503129235,741.2456877153116,747.6931109249566,6871176
2021-05-04,749.5234375,761.2119829295317,748.1091537151709,757.0523546075124,6217026
2021-05-05,756.55322265625,757.7178881252164,749.2322361577727,752.0192176111083,2696835
2021-05-06,762.0437622070312,768.6159940039959,749.7728610142871,758.71606018866,6319104
