date,open,high,low,close,volume,daily_return,ema_20,ema_50,rsi_14,macd,macd_signal,macd_hist,vwap,target
2025-04-07,77.0,83.0,76.66000366210938,82.22000122070312,57951987,0.01833048546063587,77.45298735744863,75.83005527316736,72.96066919384252,1.6684070066916092,1.0176360975545158,0.6507709091370935,78.53969730847795,1
2025-04-08,83.91999816894531,85.8499984741211,81.87000274658203,85.37999725341797,23365934,0.03843342235221403,78.20794068087429,76.20456280180464,77.09040638642534,2.0866714292694297,1.2314431638974987,0.855228265371931,79.02396897402478,1
2025-04-09,85.6500015258789,86.55000305175781,84.5,85.8499984741211,14444164,0.005504816535752521,78.93575570880256,76.58281518111117,74.58447365299101,2.428084718931842,1.4707714749043674,0.9573132440274748,79.34693550930122,0
2025-04-11,86.0999984741211,87.13999938964844,85.06999969482422,85.72000122070312,31659595,-0.001514237108078187,79.58187432898356,76.94113620227165,74.18669537763921,2.6575331311419035,1.7081238061518746,0.9494093249900288,79.9883189703562,1
2025-04-15,87.0,87.06999969482422,85.70999908447266,86.02999877929688,28056085,0.0036163970389546662,80.19598141948958,77.2975621856844,73.62400464333469,2.831744277790989,1.9328479004796977,0.8988963773112912,80.48433611198361,0
2025-04-16,86.0,86.55000305175781,84.80000305175781,85.63999938964844,7446581,-0.004533295306082152,80.71445932140948,77.62471658583985,71.23215294395116,2.9048528399196982,2.127248888367698,0.7776039515520003,80.59064966873898,1
2025-04-17,85.5,87.5,85.48999786376953,86.52999877929688,8528599,0.010392332975144969,81.26832022216065,77.97394333852444,82.23414156057805,3.000024994152966,2.3018041095247517,0.6982208846282143,80.72654376270519,1
2025-04-21,87.19999694824219,87.4000015258789,86.02999877929688,86.75,9542428,0.002542484962518632,81.79038496290725,78.3181024232882,81.86783876004858,3.0579517081621503,2.4530336292522317,0.6049180789099187,80.87688972257376,0
2025-04-22,86.9800033569336,87.94999694824219,86.19999694824219,86.6500015258789,12081653,-0.0011527201627792305,82.25320558795217,78.64484356456627,82.87295431117373,3.0605103470353185,2.5745289728088494,0.48598137422646914,81.06312106238862,1
2025-04-23,87.0,87.9000015258789,85.70999908447266,87.56999969482422,7867039,0.010617405109572209,82.7595669314638,78.99484968732149,84.82354989763138,3.101027535161961,2.679828685279472,0.42119884988248923,81.1808371027695,1
