date,open,high,low,close,volume,daily_return,ema_20,ema_50,rsi_14,macd,macd_signal,macd_hist,vwap,target
2025-04-07,29459.135381747143,30103.646554344054,29249.8375360423,29609.6640625,54086,-0.03072048988289222,29255.90536297398,28477.052617603316,70.8753241730743,690.8377465241647,586.2394471536892,104.5982993704755,29650.15476180664,1
2025-04-08,30102.751270167922,30449.041110042304,30021.93929260442,30288.0625,42775,0.02291138582552099,29354.206042690745,28548.072612991422,74.47667985765692,686.2931488679387,606.2501874965392,80.04296137139954,29693.96544189247,0
2025-04-09,30264.02784692892,30491.935729578778,29985.262108779174,30225.412109375,39073,-0.002068484592733566,29437.178049041624,28613.85063245745,69.26271452829833,669.9138101544559,618.9829120281225,50.93089812633332,29727.59512711717,0
2025-04-11,30491.886230471475,30563.49232070244,29613.09729054373,29964.36328125,32572,-0.008636733460584689,29487.386166394805,28666.811912802255,64.95976657867052,628.6222415666343,620.910777935825,7.711463630809362,29743.35142668365,1
2025-04-15,30852.158634538155,31095.990210843374,30011.188504016067,30976.5625,39498,0.03378010102365092,29629.212483881012,28757.390367202166,69.07856916905492,669.8527481110286,630.6991719708658,39.15357614016284,29797.04430055405,0
2025-04-16,30852.159471387986,31140.77644708807,30444.114781605113,30653.11328125,25525,-0.010441740226986074,29726.726845535202,28831.732442262866,62.40304308514778,668.7199850975339,638.3033345961994,30.416650501334516,29830.44142468398,1
2025-04-17,30648.135866620465,30941.72898500504,30379.423520980345,30852.158203125,36538,0.006493465118818875,29833.91078435328,28910.964825041774,63.06851170210368,676.0899795231744,645.8606635815944,30.229315941580012,29873.31909139535,1
2025-04-21,30852.15912624378,31265.179966159623,30573.49446316803,31006.419921875,28359,0.005000030070323458,29945.57832126011,28993.13953472151,61.46319621589848,686.4652407025424,653.981579005784,32.483661696758304,29911.90206093372,0
2025-04-22,31140.77564211117,31235.322579982712,30653.112488879004,30762.587890625,45981,-0.007863920822344772,30023.38875643772,29062.52966632557,57.11199119960254,667.3200526299333,656.6492737306139,10.67077889931943,29965.34085359184,0
2025-04-23,30762.588362423845,30986.515323974974,30135.592870080687,30220.1875,27170,-0.017631819291454964,30042.131493919842,29107.928012744174,48.758680828414946,601.4470672510542,645.608832434702,-44.16176518364773,29980.512925348296,1
2025-04-24,30389.37520195968,30702.87293206013,30115.686707427536,30558.564453125,55566,0.011197050088620486,30091.315585272714,29164.81571628852,54.06558182487527,569.9761140866831,630.4822887650982,-60.506174678415164,30009.449915884124,0
2025-04-25,30842.20744758411,30842.20744758411,29812.143404078157,30394.353515625,26946,-0.005373646977163804,30120.17634054436,29213.03288488995,52.30702555240362,525.7244821022105,609.5307274325207,-83.80624533031028,30019.139571589305,0
2025-04-28,30394.353820158303,30682.970801423726,30185.355316483347,30255.021484375,22491,-0.004584141958419163,30133.018735194895,29253.895182908975,45.25465874459327,473.948431962217,582.41426833846,-108.46583637624303,30027.39222680773,0
2025-04-29,30633.207943900918,30633.207943900918,29548.40623308701,29881.80859375,25432,-0.01233556852100548,30109.09395981919,29278.519238236073,43.86554585583143,398.2100602988321,545.5734267305345,-147.3633664317024,30027.232245218926,0
2025-04-30,30046.02138708032,30284.87680718298,29399.12129096895,29568.310546875,22258,-0.010491267484410871,30057.590777634032,29289.883603280738,49.56976447891982,309.32448263180413,498.3236379107885,-188.99915527898435,30021.17574546835,0
2025-05-02,29568.310623585854,29682.76217934864,28841.79205222208,29140.361328125,17300,-0.014473238776072983,29970.235591966506,29284.01998464718,37.40303438648361,202.02132048377462,439.0631744253857,-237.04185394161107,30007.789733235553,1
2025-05-05,29200.077003626568,29483.7178334164,29195.100848717975,29329.45703125,14607,0.006489133782376699,29909.20906237446,29285.801829612,40.431739669664545,130.7342116941909,377.39738187914674,-246.66317018495585,29998.42694529969,1
2025-05-06,29478.74094481304,29782.286386682317,29229.933205575926,29344.384765625,28266,0.0005089672938403123,29855.416272207844,29288.099199651726,43.011635202817985,74.58345613461279,316.83459673024,-242.2511405956272,29984.08039889444,1
2025-05-07,28896.529969603376,29478.74006198216,28896.529969603376,29428.978515625,11379,0.0028827917393958735,29814.803152533284,29293.623878709503,27.943242116233733,36.48896438696829,260.7654702615857,-224.27650587461738,29976.589070878057,0
2025-05-08,29553.381035694172,29608.118734194366,28961.218661010287,29269.740234375,44201,-0.005410934707280268,29762.89239842297,29292.68726520619,29.315437339197416,-6.475744909759669,207.3172272273166,-213.79297213707628,29949.371947769832,0
2025-05-09,28936.338817741296,29438.930429193035,28583.031843354427,29090.599609375,24760,-0.006120335321241233,29698.864513751738,29284.76225909516,23.502988382559977,-54.35417675294593,154.9829464312641,-209.33712318421004,29929.850241722732,1
2025-05-12,29468.78698007404,30095.78244773519,29468.78698007404,29991.283203125,13032,0.030961327915005832,29726.713912739666,29312.46896278261,37.530540878233786,-19.396944345156953,120.10696827597991,-139.50391262113686,29928.98223769956,1
2025-05-13,30065.926338452686,30299.80560656048,29508.59701870646,30001.236328125,39445,0.0003318672606500428,29752.85890468113,29339.479447697995,40.07781724808155,9.006229983970115,97.88682061757795,-88.88059063360784,29929.229022986543,1
2025-05-14,30150.520654839056,30762.587669287845,29966.402935045517,30473.970703125,98120,0.015757163132535057,29821.536218818637,29383.969300851997,53.3685526399703,68.86779841865064,92.0830161777925,-23.215217759141865,29964.641727919192,1
2025-05-15,30842.207262017317,31683.17741808071,30747.660321394804,31250.251953125,172193,0.02547358391731991,29957.60438399067,29457.156855843095,58.224874168789405,176.90863923307916,109.04814078884984,67.86049844422932,30111.583840572574,1
2025-05-16,31250.249967875217,31568.723852898147,30857.133766050036,31464.224609375,34222,0.006847069795499872,30101.092024503465,29535.86539519729,62.57307095882135,276.6090125722112,142.5603151455221,134.0486974266891,30138.379821444254,0
2025-05-19,31464.225338706485,31499.05842068829,31041.25220035601,31449.296875,28500,-0.0004744351580350248,30229.492486455518,29610.901923817004,64.45780825066075,350.3787848100219,184.1240090784221,166.2547757315998,30160.400911856355,0
2025-05-20,31160.679652185765,31767.77050455987,31160.679652185765,31374.654296875,29706,-0.0023734259758391163,30338.555516019278,29680.06868354477,69.48051252957107,398.22830058967156,226.94486738067198,171.28343320899958,30184.478862527933,0
2025-05-21,31349.774575013893,31648.34385668069,31235.323017041617,31339.822265625,31519,-0.001110196495566429,30433.914254076968,29745.157059312623,74.9299937002576,428.4003996268402,267.2359738299056,161.1644257969346,30208.52900231106,0
2025-05-22,31339.821598416107,31499.05854524833,31155.703878641354,31260.203125,34673,-0.002540510279547159,30512.608432260116,29804.57063051605,83.07454334135596,440.8060682855685,301.9499927210382,138.85607556453027,30231.739584339964,1
2025-05-23,31280.108816255557,31668.24888747222,31240.299578182054,31344.798828125,19027,0.002706178932578407,30591.864660437725,29864.971736304637,82.50401789736233,452.2505534579541,332.0101048684214,120.24044858953266,30245.358948665475,0
2025-05-26,31344.797854388566,31543.844038572646,30852.158548532956,30951.681640625,15503,-0.012541703957189343,30626.132944265082,29907.587810983867,73.10441988515959,424.7034023427841,350.54876436329397,74.15463797949013,30253.428400681358,0
2025-05-27,31180.58620506866,31180.58620506866,30613.30455371567,30802.3984375,37923,-0.004823104762394004,30642.92013409698,29942.67842378842,69.38204337642162,386.3723201389548,357.7134755184262,28.658844620528612,30266.99775374302,0
2025-05-28,31081.063025275966,31081.063025275966,29682.763519976164,29752.4296875,34686,-0.03408724006120667,30558.11152013536,29935.217689032015,55.443352021359594,268.1795512312383,339.80669066098864,-71.62713942975034,30265.111231973373,1
2025-05-29,29757.405520067274,29876.83323452908,29473.76469822048,29772.333984375,50069,0.0006689973586715414,30483.27556434866,29928.830092770953,57.97440499471797,174.11000894620156,306.6673543180312,-132.55734537182963,30249.562748939752,0
