date,open,high,low,close,volume,ema_20,ema_50,rsi_14,macd,vwap,target
2025-04-07,2166.598015467922,2328.8455380874375,2166.598015467922,2316.330810546875,1745817,2274.3152219765284,2238.163433503377,75.98115905104618,31.09871862081991,2291.6983578337167,1
2025-04-08,2330.8242133419153,2394.140321004854,2330.8242133419153,2368.615966796875,1876867,2283.296245292752,2243.27921912273,80.40027285082724,34.72260266012472,2299.186287498948,1
2025-04-09,2374.3537662248245,2403.4890172581904,2365.3509115818533,2385.384521484375,1186937,2293.018938263383,2248.8519760780887,76.83595340426461,38.50379135362391,2304.4095621082556,0
2025-04-11,2413.4316352729334,2421.840804733815,2354.8147775603197,2368.022216796875,968152,2300.162107647525,2253.5253188513743,70.93659831810682,39.64244432811893,2308.0692230498526,1
2025-04-15,2389.0947308137074,2399.086900703578,2359.5143332692924,2389.88623046875,1141122,2308.7072622019273,2258.8728055814677,71.92014179832023,41.82692345486021,2312.0277792254606,1
2025-04-16,2379.399547591545,2442.1219677939607,2378.014362868992,2433.61376953125,1166695,2320.6031200428156,2265.725392403028,74.09676514682002,46.549986588149295,2317.4658729876032,1
2025-04-17,2433.6135636785502,2449.9372456960327,2405.022483909115,2441.528076171875,885840,2332.1197825312975,2272.619615295924,74.07400990056122,50.351248699942516,2321.770467520025,0
2025-04-21,2439.5496155709575,2444.496186218964,2414.915790356595,2418.873046875,541913,2340.3819981830784,2278.3550439852997,70.29824669585415,50.94840330287934,2324.111911088176,0
2025-04-22,2418.87304657384,2423.81961722123,2387.709651495281,2406.011962890625,543647,2346.6324710123686,2283.3611976678617,65.74448927979131,49.809695471066334,2325.9117085056055,1
2025-04-23,2410.9584212538784,2430.349073901287,2399.680337315784,2426.886474609375,744684,2354.2757094501785,2288.989639900862,67.7506462585564,50.015116817197395,2328.6364677001056,1
2025-04-24,2423.819646802485,2464.3815266061183,2409.8702207938923,2438.065673828125,1203452,2362.255706057602,2294.835758878402,74.45619771522922,50.497874597945156,2333.5521284312963,0
2025-04-25,2437.9669804359482,2442.319866212299,2387.907586349,2405.616455078125,702217,2366.3853012024138,2299.180099905842,69.11439158967978,47.71208760738591,2335.565746933488,1
2025-04-28,2394.041198616951,2433.5149778513432,2379.3005144953645,2425.99609375,554920,2372.062519540279,2304.1532761350245,66.86911652867194,46.61148963011874,2337.104954185486,0
2025-04-29,2433.7127581225986,2445.584527674416,2415.509474755853,2424.907958984375,1235066,2377.0954185349547,2308.8887538938225,65.8867464432965,45.13120992725089,2340.9871509489158,0
2025-04-30,2423.819432555459,2435.889015709181,2375.8377009314017,2399.779052734375,1479669,2379.255764649185,2312.45307933855,63.61142039761767,41.452545730676775,2344.025295699856,0
2025-05-02,2399.086782368387,2418.774037083155,2372.3753006677903,2384.2470703125,744673,2379.7311270933105,2315.2685299649797,52.89696182118789,36.858989192804984,2345.159954076694,1
2025-05-05,2397.2072767357836,2448.552585862986,2397.2072767357836,2410.859619140625,1229588,2382.6957453835307,2319.017200128731,54.55516965001337,34.96294179252436,2347.9416596364404,0
2025-05-06,2415.9051607572114,2423.7206459503905,2365.5491670003303,2392.16162109375,702802,2383.5972573559325,2321.8856087940258,54.29581632023524,31.58741829520295,2348.910135675017,0
2025-05-07,2362.4821380195167,2379.992949781398,2293.72480611317,2309.158203125,1711738,2376.507823619653,2321.3864948462206,38.201228041128815,21.961451520076935,2347.8690962738656,0
2025-05-08,2297.187471067545,2323.9979813176074,2268.99201761129,2277.994873046875,2292261,2367.125637850817,2319.6848626187953,26.388416594248156,11.683503054471203,2344.3319942623566,0
2025-05-09,2222.593206912753,2306.8827219454733,2221.010207702129,2275.02685546875,1503010,2358.3543252430013,2317.9335682207543,24.352310172067945,3.2610690588962825,2341.3606101640476,1
2025-05-12,2305.1019300620587,2353.08366551614,2296.198102864394,2331.2197265625,940135,2355.77007774962,2318.4545940380776,37.76238935881285,1.107755000794441,2341.016888772516,0
2025-05-13,2328.845504970718,2332.8027615637016,2290.3612812166643,2299.759765625,1220489,2350.4357623091805,2317.721463512075,35.898087273222146,-3.1015649200917323,2340.022237766824,0
2025-05-14,2294.219400295305,2294.219400295305,2252.7672360747315,2257.91162109375,1549845,2341.623939336282,2315.37597949567,28.756170222953685,-9.702433197694063,2337.40694022927,1
2025-05-15,2260.5828211923167,2310.5431855118845,2243.764480728304,2305.0029296875,1675015,2338.136224131636,2314.9691932286833,34.65659660073341,-11.006912978106811,2335.4744245069223,1
2025-05-16,2308.9600264990613,2329.8346501256283,2290.26208706617,2328.44970703125,785113,2337.2136986935043,2315.497840828784,40.91328559148811,-10.033108197696492,2335.1375606068304,0
2025-05-19,2328.450029310157,2353.4794856841663,2301.7385455479075,2306.487060546875,552961,2334.287352203349,2315.14447689616,35.979570361213476,-10.907824306411385,2334.9605657807997,0
2025-05-20,2322.4148860581417,2322.6127005748817,2266.9142675677517,2271.069580078125,1095824,2328.266612000947,2313.416049569963,33.297513878934126,-14.2941635821835,2333.829885631231,1
2025-05-21,2271.4652859762723,2291.4493834785935,2265.529401082606,2287.68994140625,469330,2324.4021671824044,2312.407182583151,37.60122411436158,-15.458541158596745,2333.3088004507167,0
2025-05-22,2284.5240000660287,2285.315499627662,2258.703047781497,2274.630859375,916504,2319.662042629318,2310.925758143616,37.80806503118395,-17.23638721487714,2332.1550003064826,1
2025-05-23,2277.2032808526446,2304.1125765054794,2270.4758965564943,2290.7568359375,458035,2316.909165801526,2310.134820017886,36.32265501320912,-17.146457792847286,2331.741862058154,1
2025-05-26,2291.251517197846,2313.0164279829723,2278.192619033124,2302.331787109375,1258062,2315.520844021321,2309.828818727356,39.60144765750454,-15.95724111181562,2330.884123234324,1
2025-05-27,2288.3827275855097,2326.4713235357294,2276.5109574192074,2302.727783203125,2485428,2314.3024572767313,2309.5503467460135,49.07959853037685,-14.81208030738253,2329.504239077616,0
2025-05-28,2302.72778990034,2308.069989878001,2275.7194643870957,2278.58837890625,774808,2310.9011164795425,2308.336151928768,50.08669306091765,-15.671726398163173,2328.8892878408956,0
2025-05-29,2278.5882463730663,2284.326316609405,2262.0667487775677,2269.783447265625,1414643,2306.985147982979,2306.8242811576642,49.24693947535066,-16.869030829244366,2327.4111489585634,0
2025-05-30,2271.959969790152,2279.3798259945615,2230.9034321257536,2234.959716796875,3610431,2300.125583108112,2304.0060629474374,35.27101810821897,-20.392811593789702,2322.493659782921,1
2025-06-02,2234.9596290780687,2248.0185271789314,2233.772258906544,2242.478271484375,702789,2294.6353629534706,2301.5932083802586,40.54228149395069,-22.321441031466748,2321.5230771463143,0
2025-06-03,2248.315255855017,2262.858124401989,2222.6918764801085,2231.595703125,792587,2288.6315858269495,2298.84820817417,45.160091023874905,-24.446225206104373,2320.4243594289555,0
2025-06-04,2225.462186373197,2236.8392991286055,2216.9539880477464,2224.967529296875,768079,2282.568342347895,2295.95092664957,32.70631356052908,-26.36109590236765,2319.2241126889758,0
2025-06-05,2227.0452515829743,2236.8393653714897,2209.138568277106,2219.5263671875,996614,2276.5643447135717,2292.9538851020384,24.478471877409717,-27.99499218990468,2317.6397174422323,1
2025-06-06,2225.066477788955,2228.5290771994382,2215.0743085917125,2221.2080078125,822087,2271.292312627755,2290.140321286762,27.920024778917693,-28.82193114378788,2316.368009933932,1
2025-06-09,2216.0636653265124,2231.6948769865094,2212.1064087812865,2223.879150390625,1041851,2266.7767733670757,2287.5418439967175,35.28680126540269,-28.928280133974113,2314.8197181554146,0
2025-06-10,2236.5096020141245,2236.5096020141245,2211.7481969540704,2215.4423828125,1809051,2261.8877837904497,2284.7144141463564,26.263102674918912,-29.354953478568405,2312.212365479859,0
2025-06-11,2205.5577938919528,2222.4313617191465,2203.7605500158743,2205.358154296875,1430888,2256.504009552966,2281.6024039561808,26.786722320305117,-30.15915220873012,2310.019670040534,1
2025-06-12,2220.53458020989,2259.4738107081753,2204.6594529723643,2215.941650390625,3417373,2252.6409277279813,2279.0274724438063,23.96224715740604,-29.60126090199128,2305.9388579227093,0
2025-06-13,2171.6108865639185,2213.6453832975812,2171.411246958574,2210.749755859375,1786807,2248.6512923119235,2276.3499149306913,16.644970603612933,-29.240998491489336,2303.259019769841,1
2025-06-16,2210.749588087704,2246.493850099095,2205.857321207117,2241.302001953125,1301826,2247.9513598968,2274.9754869707867,31.657368984331484,-26.18829465251747,2301.9719913409117,1
2025-06-17,2227.523615118048,2277.4457042063054,2223.529847990987,2261.27099609375,1540986,2249.219896677462,2274.438055956001,44.69668875756633,-21.905164822703682,2300.980230081817,1
2025-06-18,2253.4830888680904,2280.441016825307,2251.4862053157035,2277.844970703125,1131156,2251.946094203716,2274.5716604558884,52.356638984604054,-16.97766439093084,2300.5151974663054,0
2025-06-19,2266.462703751929,2281.4393295476466,2260.472053433642,2264.4658203125,524926,2253.138449071219,2274.175352999285,59.86206153700527,-13.99089212493709,2300.2962826160656,1
2025-06-20,2263.4673722395323,2286.331590052743,2259.4736053718843,2282.13818359375,1945026,2255.900328549555,2274.4876208657347,62.41328876845981,-10.081626844244965,2299.690045063694,0
2025-06-23,2257.6763942073076,2269.2584157952006,2250.387720816316,2260.572021484375,596186,2256.345251686205,2273.9419110860736,58.50087453283044,-8.62429943539928,2299.3895752056537,1
2025-06-24,2301.4083108887703,2306.1009385190196,2265.364465001573,2271.754638671875,1044179,2257.8128123515066,2273.8561356972814,63.368827276760676,-6.49217545698275,2299.1494631036194,1
2025-06-25,2272.5532844608238,2290.724874917351,2271.854180252347,2276.34716796875,807368,2259.5779890769586,2273.953823237339,66.31495122436792,-4.381367433607011,2298.953716696323,1
2025-06-26,2283.436247983665,2289.027619203835,2276.646795433512,2286.23193359375,921519,2262.1164599833196,2274.4353177611197,67.83037385555107,-1.8891420385562014,2298.7840344295764,1
2025-06-27,2279.4424253214006,2360.8154247360717,2273.551716732878,2355.0244140625,1555059,2270.9648365622893,2277.595674478821,76.39144776598974,5.5727041293016555,2299.3655344206404,0
2025-06-30,2358.319484133415,2366.207076690577,2322.475521738939,2337.4521484375,785414,2277.2969615027855,2279.9429871830826,73.68228008620837,9.95359712686195,2299.7659216657707,1
2025-07-01,2376.7907212034615,2396.260336437012,2346.5378857039027,2365.807861328125,1232160,2285.7265710099605,2283.3102371495547,79.08081539313851,15.534483584865484,2300.777852248541,1
2025-07-02,2336.3537050263667,2426.2134629119964,2323.373962220665,2415.6298828125,1936030,2298.098314991155,2288.499242861827,81.68576384988057,23.704348095332534,2302.730333122382,1
2025-07-03,2425.115176958039,2460.5598606598815,2421.2213514638897,2427.112060546875,1547480,2310.385338377414,2293.9350396337895,83.65961636043767,30.751061270716036,2305.067508037875,0
2025-07-04,2427.1118740377615,2439.19311632593,2408.241423077423,2420.42236328125,602309,2320.8650550349225,2298.895326835651,80.1007300384097,35.38789988812323,2305.8626876231683,1
2025-07-07,2419.5240374468945,2461.2589530034766,2417.2275725788145,2438.99365234375,869054,2332.115397635763,2304.389378816361,80.00680968657305,40.09894009890559,2307.1511385634,1
2025-07-08,2436.697136128193,2484.123120133966,2433.502171220896,2480.728515625,1136367,2346.2690279204526,2311.3046390833665,81.57247858532853,46.662234883648125,2309.13526734865,1
2025-07-09,2516.5725437873343,2531.0499498118998,2489.0154527468394,2495.006103515625,2328636,2360.4344636914216,2318.50861808071,85.7763444738531,52.411606926973036,2314.0205233357865,0
2025-07-10,2503.393050824226,2508.0856783014938,2441.2900226692773,2447.38037109375,932859,2368.715026301167,2323.5624123165157,73.46191016953618,52.51961369732635,2315.5197722353796,0
2025-07-11,2443.686285546248,2480.928213134193,2431.704984044081,2435.399169921875,1050411,2375.065897122187,2327.9481675167262,75.5173731030128,51.049954934493144,2316.9939271744847,0
2025-07-14,2427.3119430814827,2444.784674477807,2387.2743296349663,2397.85791015625,891618,2377.2365650301927,2330.68972605161,67.09070346255172,46.322002646872534,2317.8552532276376,0
2025-07-15,2406.144610422749,2411.236760713423,2382.581532019301,2389.770263671875,610228,2378.430250615115,2333.0066098798557,65.22790012239196,41.44471207352308,2318.3383162033383,1
2025-07-16,2377.289864148225,2418.625256092166,2367.3054464071574,2406.743896484375,1200909,2381.1267883169494,2335.898268178072,65.87741232824455,38.505190599975776,2319.3085016730734,0
2025-07-17,2400.353957448019,2410.238433469769,2390.269598064054,2395.161865234375,526163,2382.4634623090856,2338.2223308077314,56.22677783762042,34.83941839876343,2319.731458180112,0
2025-07-18,2396.8593346465727,2401.252380791346,2368.6033846985288,2378.6875,599552,2382.1038468510774,2339.8092001878204,56.418968222116824,30.256149864601866,2320.112981921303,0
2025-07-21,2378.6875787280683,2404.247785580512,2357.1213827215047,2371.698486328125,390931,2381.112860134606,2341.0597604286168,50.98231923095087,25.76294237410184,2320.339023435923,0
2025-07-22,2371.6984615067413,2377.0901932721026,2357.6205789331657,2361.514404296875,411317,2379.2463405310127,2341.8619033254113,39.60095969343857,21.136622926070686,2320.524424714395,1
2025-07-23,2359.31790586659,2380.984043554375,2348.9342089478964,2371.698486328125,368999,2378.5274972735947,2343.031965403949,39.298121534457394,18.083545880379006,2320.69606592837,0
2025-07-24,2371.6985575583717,2376.2914873489262,2337.352257094049,2348.43505859375,506960,2375.6615507326574,2343.243851411392,36.93374078059,13.629681642061769,2320.8635903302315,0
2025-07-25,2336.3536977189538,2346.8373361061545,2322.175873604493,2332.5595703125,383636,2371.556600216452,2342.824859995749,30.490457215891396,8.718442143542234,2320.9128260217476,1
2025-07-28,2332.5596557546282,2362.712548992187,2316.3849475453603,2355.92333984375,650364,2370.0677182761947,2343.3385258721414,25.471001001884773,6.635025950401996,2321.0666076632065,1
2025-07-29,2355.324039012076,2414.531682301382,2321.3770202217365,2397.7578125,1742815,2372.7048701070335,2345.472615543822,32.75496164632884,8.264329874789382,2322.0221310140028,1
2025-07-30,2405.2461918338104,2439.9920137181934,2362.8124171750574,2412.03564453125,1685818,2376.450658147435,2348.082930406074,42.891597500186585,10.585642001804445,2323.3493976594823,0
2025-07-31,2397.658001522801,2413.4334304549966,2369.8015732657213,2392.366455078125,1274735,2377.9664483313104,2349.8195392167427,41.60502035614199,10.714647592216352,2324.168734992604,1
2025-08-01,2374.294500880553,2468.1480261466477,2374.294500880553,2427.2119140625,2225293,2382.6564926866617,2352.8545343087335,55.78735882260071,13.473310835967823,2326.194113670185,1
2025-08-04,2439.3928529127475,2463.155815490761,2435.7986088422463,2445.982666015625,1165898,2388.6875568132295,2356.5066179050823,60.63470303605839,16.978496600569997,2327.488548621794,0
2025-08-05,2458.0636716091076,2459.8609155292706,2405.3461416856353,2433.0029296875,659094,2392.908068515541,2359.506473269099,55.04411614359155,18.495817061184425,2328.1154600214195,1
2025-08-06,2436.1979448164952,2501.695823132035,2436.1979448164952,2487.318115234375,2019109,2401.899501536382,2364.518694522639,65.20595424742869,23.80665767012124,2330.748974722919,1
2025-08-07,2480.229240657659,2506.088784394948,2463.055847605046,2502.59423828125,1502806,2411.4894764644646,2369.9334217288592,70.52600926966974,28.914879841316633,2332.852751852495,0
2025-08-08,2502.594183435637,2507.7860316530255,2464.6533978898347,2471.742431640625,1178226,2417.2278531479083,2373.9259319214775,65.35870204013096,30.126421128427864,2334.3699890411553,1
2025-08-11,2460.060508660261,2500.2977595830134,2448.1791494439526,2485.221435546875,721135,2423.7034324240003,2378.2904614754148,68.80124197790325,31.807561523917684,2335.261709973553,0
