date,open,high,low,close,volume,ema_20,ema_50,rsi_14,macd,vwap,target
2025-04-07,1447.9871602224607,1483.437880352045,1428.5642087991305,1458.772216796875,916977,1501.11620929477,1471.4235754360182,54.62786349000175,20.564006572615654,1532.5835940351897,1
2025-04-08,1487.9315497285577,1495.9704233045459,1456.0259521708933,1485.934326171875,2142568,1499.670315664018,1471.9926244844833,58.55754724178358,16.865398036137776,1525.818053276367,0
2025-04-09,1485.9344225423035,1497.8179278554417,1472.9524685819206,1479.59326171875,1047950,1497.7582152882783,1472.2906886897488,49.397590361445786,13.269589647637758,1523.3405253464143,1
2025-04-11,1536.8635912605712,1536.8635912605712,1497.967709624813,1519.787353515625,1134200,1499.8562284527875,1474.1533029966458,53.97067225290421,13.50750675557083,1523.0348900555557,1
2025-04-15,1553.340666679218,1571.9148219198976,1522.8830065482528,1560.4307861328125,1363406,1505.6252339461232,1477.536733707868,52.800830489374995,16.782188496142226,1524.951987757487,1
2025-04-16,1546.3503649905406,1574.6111275572964,1546.3503649905406,1563.2269287109375,784495,1511.1111096380102,1480.89713351191,49.18093143762404,19.37962643591436,1526.3005144918804,1
2025-04-17,1555.837144899636,1612.7580160545008,1547.2491080178443,1605.9674072265625,1500299,1520.145042741682,1485.8018501281708,58.53415568699614,24.603302578738294,1530.4216315370584,1
2025-04-21,1615.7539555728526,1628.436277168365,1593.0855155869024,1626.2393798828125,1016066,1530.2492653265515,1491.3092042361961,64.37997180251439,30.032684240666185,1534.0844330952639,0
2025-04-22,1625.540396399101,1637.6235752419475,1610.561218849905,1616.7525634765625,1102055,1538.4876746741716,1496.228551657387,61.98643612803618,33.18743740503214,1537.9723975307174,0
2025-04-23,1622.7441360912837,1622.7441360912837,1598.7774534659354,1613.25732421875,1136215,1545.608593678417,1500.8179152872444,60.923624497607506,35.002083192387545,1541.1951453083202,0
2025-04-24,1610.660955707913,1634.3280060067004,1600.7746747587398,1605.9674072265625,857476,1551.3570521115737,1504.9414247750608,60.01272370505581,35.4433982435894,1543.5135029976889,1
2025-04-25,1721.107425477229,1759.5539795131288,1648.807907273704,1692.746826171875,10321746,1564.8227448792213,1512.3063424768968,67.4899890548264,42.30781925947235,1587.1120001749584,1
2025-04-28,1687.6539612804859,1752.5637290220432,1679.0659240825435,1733.68994140625,2100813,1580.9053350246527,1520.9880522388323,73.6373758557624,50.46990395717171,1594.3222057221753,0
2025-04-29,1731.4930157689255,1762.4499814146093,1718.61089923297,1727.6982421875,2049847,1594.885611897305,1529.0943341976038,78.14440647467221,55.811573751797596,1601.3691264113193,1
2025-04-30,1719.6095095383932,1770.039405143323,1716.1143682588438,1763.3487548828125,2031563,1610.9297207530676,1538.280782067612,91.18280968425904,62.20452889135231,1608.3320929266522,0
2025-05-02,1758.555376711821,1774.6330022834163,1745.173954235149,1759.753662109375,902461,1625.1034294536685,1546.965993049642,89.54423942238736,66.21758288040041,1611.4244333611925,1
2025-05-05,1770.5387875498627,1785.1184959944105,1764.4472797224462,1767.443115234375,947983,1638.6595900042119,1555.6121547039452,91.40921555790946,69.22050083757017,1614.8016687389836,0
2025-05-06,1767.54292405218,1795.3043814501787,1714.8161711167213,1723.60400390625,1295777,1646.7495341853585,1562.2000703589374,79.0161521960063,67.28723963439029,1618.4207988111507,1
2025-05-07,1711.6205878352055,1754.0615884087154,1709.9229965726056,1742.0782470703125,753313,1655.8284592220207,1569.2541165044815,77.60237163710777,66.47949894829844,1620.2863988200065,0
2025-05-08,1738.8827577737623,1741.5789608450043,1718.7107264858482,1729.0963134765625,1107891,1662.8063501034055,1575.522437954367,74.44799572790436,64.05345671156488,1622.7970029568155,0
2025-05-09,1703.6317742450465,1726.3002139227822,1690.749657316363,1697.4404296875,1076900,1666.1048338733192,1580.303535669392,63.93792182679671,58.897501759879106,1624.5852366429247,1
2025-05-12,1722.6053902737385,1754.4611317262186,1717.612331171496,1749.068603515625,728808,1674.0061452678244,1586.9217736241465,67.0833122526128,58.30522611439301,1626.2687019978102,0
2025-05-13,1740.2807979235533,1753.5623841033585,1729.895332349323,1737.5845947265625,478541,1680.061235692466,1592.8301195497313,66.7126923505516,56.260642202540794,1627.3473936362439,1
2025-05-14,1738.583188569567,1757.5568132581495,1734.9882103771652,1752.763427734375,603108,1686.9852539821716,1599.1020139883449,68.69146008213006,55.22846037817976,1628.7734196932868,1
2025-05-15,1755.2598773257625,1785.9173321189126,1734.6884990334781,1782.12255859375,1318425,1696.045949659465,1606.2792902473802,72.28398220694754,56.13242567974817,1632.257135685893,0
2025-05-16,1787.5151643141137,1788.4139393355604,1765.4458673918596,1770.938232421875,696146,1703.1785480177896,1612.736503665988,62.230573531534574,55.30877788031739,1634.123178732704,0
2025-05-19,1770.638518810651,1778.7272498305404,1761.9506451042612,1767.5428466796875,288530,1709.3084812236846,1618.8073406469175,55.99999480750334,53.76231333004421,1634.8525698796795,0
2025-05-20,1776.3307109914213,1776.3307109914213,1750.8661102004992,1755.35986328125,529693,1713.6943271339287,1624.1623415345384,54.79738295312027,50.96615794599393,1636.0874932467602,1
2025-05-21,1754.461133266349,1775.4319815141773,1748.7689727442812,1761.451416015625,521050,1718.242621313138,1629.5462268083065,49.63335045921422,48.680562829654264,1637.2887277588882,0
2025-05-22,1763.8480706842886,1766.2446414830397,1738.7828169895174,1756.8577880859375,1103303,1721.9202562438809,1634.5388370544883,49.44254079018544,45.96864690275015,1639.6010637609368,1
2025-05-23,1762.5498338983166,1803.4929178585608,1757.357101278335,1796.2030029296875,1067774,1728.994803547291,1640.8786082652805,54.934872940128685,46.45871684040071,1642.3503144369288,1
2025-05-26,1803.4929153346563,1807.58719934478,1787.6149632945624,1799.0989990234375,633624,1735.6713935926382,1647.0833294714828,65.07179178991831,46.54425033361258,1644.0704836039367,1
2025-05-27,1799.0990396865345,1807.087934287186,1791.509614196087,1800.7967529296875,1219984,1741.8738087675952,1653.1113068620007,62.56414998140278,46.21627830704233,1647.3130778325044,1
2025-05-28,1808.0865002097296,1811.9811106088448,1799.5982999120304,1804.8909912109375,763018,1747.8754451907705,1659.0634513462728,66.85921357882023,45.75924483507629,1649.3465200817375,1
2025-05-29,1805.09068286512,1827.4596117829624,1798.899338405214,1822.466552734375,1189803,1754.9793601949232,1665.4714161065906,79.66827143113707,46.28173639782676,1652.6270177282784,0
2025-05-30,1822.4666064735125,1831.35427622224,1802.3945328864966,1809.684326171875,1364259,1760.1893569546328,1671.126824344445,67.63511766594408,45.14400389188654,1656.1937260994155,0
2025-06-02,1809.6842886128802,1826.4610159229803,1793.107356806982,1799.997802734375,1238769,1763.9806375050844,1676.1805882028737,68.34998733095074,42.9654423222255,1659.1427816771195,0
2025-06-03,1807.2876782722433,1811.4817990576803,1767.6427168061575,1772.8355712890625,1576208,1764.82396453213,1679.9709796964498,55.51290897301531,38.60216972560329,1662.1831434981734,1
2025-06-04,1772.535917396638,1776.6302013327077,1759.8535964944792,1773.4346923828125,918721,1765.6440338512425,1683.6362233312093,47.166139082999855,34.79153367902609,1663.6917773821772,0
2025-06-05,1779.5262600416722,1788.5137664055192,1762.5498591321839,1772.3363037109375,912222,1766.2813928854991,1687.1146578559046,50.488150636645955,31.321887153848365,1665.2101239324106,1
2025-06-06,1772.3362984402731,1781.0241724724792,1748.8689207822392,1778.128173828125,1589674,1767.4096577371777,1690.6838153450115,53.635138794684146,28.70858806621868,1667.6393216121382,1
2025-06-09,1787.115679595648,1796.502655036041,1756.6580192406734,1788.3140869140625,1221496,1769.4005557540238,1694.5124534457586,61.47429429271158,27.146519590558455,1669.6266243813493,0
2025-06-10,1788.4138903849116,1794.1059288635151,1769.540103054554,1783.0213623046875,1400311,1770.6977754255156,1697.9833910480695,57.55242860281289,25.191103071380894,1671.8546925970404,1
2025-06-11,1783.0213546039022,1798.4000005807684,1771.53731899598,1796.80224609375,1089930,1773.183915489157,1701.8586402655471,63.14060578704689,24.471333245267942,1673.6302925331318,0
2025-06-12,1797.4014267579296,1809.7842376203967,1757.5567910355323,1763.5484619140625,984693,1772.26625324391,1704.2778489576458,38.80905964742008,20.975811899987548,1675.0272133856745,0
2025-06-13,1717.6123402295552,1764.047790125296,1717.6123402295552,1752.763427734375,1774169,1770.408841290621,1706.179244203792,34.93507390359076,17.137770376958315,1676.6864600687436,1
2025-06-16,1759.5539705170804,1797.5012184623977,1749.4680158381009,1795.3043212890625,728053,1772.7798393857108,1709.6743452659596,48.589002536370955,17.329031115392354,1677.6921364381817,1
2025-06-17,1793.6066437023537,1804.1919044854112,1782.9215461186823,1797.700927734375,557790,1775.153276371298,1713.126368107858,48.1366304396655,17.472579716750033,1678.55378302265,0
2025-06-18,1797.5012399252255,1802.4942989250178,1788.8133660259286,1794.705078125,349531,1777.0153527287935,1716.3255332065696,42.21722584972554,17.146943698071482,1679.0891275082267,0
2025-06-19,1792.5082174385086,1802.3944988396502,1778.5276519543086,1786.916015625,537885,1777.9582730046225,1719.0937874190572,43.43318621334558,16.0750592823199,1679.8609986303932,1
2025-06-20,1784.619099121428,1818.4720630610548,1776.6302048301109,1808.3861083984375,1669329,1780.8561620897478,1722.5954470653076,52.26536523356499,16.764786194557246,1682.441957164652,1
2025-06-23,1807.4874021435537,1823.6648649383076,1796.1032029653509,1816.075439453125,627282,1784.210378981498,1726.2613291197317,63.05003444680639,17.72751276327017,1683.4691823734,1
2025-06-24,1829.6564722317785,1848.3305858386984,1825.4623514756004,1840.4415283203125,876488,1789.5657265375755,1730.7389839903428,67.68582813957923,20.223496363339336,1685.163938449509,0
2025-06-25,1840.4416000823562,1852.4249420253775,1822.4665871678244,1840.1419677734375,990856,1794.3825114171816,1735.029297079876,67.97245877876426,21.924675307080406,1687.0388987494816,1
2025-06-26,1847.4318625549195,1863.8091207436858,1840.1419475261168,1858.2169189453125,1147822,1800.461978800813,1739.8601842118537,69.93042893951977,24.449530409966428,1689.3739619776863,0
2025-06-27,1845.434639512959,1860.3139799801124,1812.7800818273743,1848.031005859375,6763121,1804.9923623302,1744.102177217639,64.86081231245554,25.336514641440772,1700.8663806239952,0
2025-06-30,1843.4374312470509,1852.5247744857027,1823.5650315246169,1835.7481689453125,1362010,1807.9214867697347,1747.696137677548,62.6801455607836,24.762882651400787,1702.9256545223172,1
