open,high,low,close,volume,returns,price_change_pct,rolling_volatility,higher_high_ratio,lower_low_ratio,market_type,ema_20,ema_50,rsi,macd,macd_signal,vwap,volatility,target_market_type,symbol,timeframe,timestamp
1368.5,1369.0999755859375,1366.0999755859375,1368.5,361486,7.306020473096808e-05,-0.007686154574423676,0.0015406182493312057,0.3,0.45,0,1372.651063438666,1375.561373354316,28.76086357670266,-2.574008753222415,-2.0083944949689876,1373.0573796092322,0.0015406182493312057,0,ICICIBANK,5m,2026-01-30 05:25:00
1368.699951171875,1369.5,1368.0,1368.699951171875,101483,0.0001461097346546758,-0.00458185369318187,0.0014177867376259326,0.35,0.45,0,1372.274767032305,1375.2922979746124,29.385624414402344,-2.564588120265171,-2.1196332200282244,1373.0204651580839,0.0014177867376259326,0,ICICIBANK,5m,2026-01-30 05:30:00
1368.5,1369.4000244140625,1364.5999755859375,1364.5999755859375,225871,-0.0029955254856457447,-0.007780173680139724,0.001541220554095704,0.35,0.45,0,1371.5438345136033,1374.8729912142724,29.910407742863683,-2.8550447865384285,-2.2667155333302653,1372.8932872673013,0.001541220554095704,-1,ICICIBANK,5m,2026-01-30 05:35:00
1364.4000244140625,1365.9000244140625,1364.199951171875,1364.9000244140625,132571,0.00021988042905851657,-0.008210962911450626,0.0015287478717420184,0.35,0.5,0,1370.9110906945994,1374.4818944770093,26.976295244854512,-3.026138908736584,-2.4186002084115295,1372.8078365182248,0.0015287478717420184,0,ICICIBANK,5m,2026-01-30 05:40:00
1365.0,1365.0,1361.4000244140625,1362.0,162389,-0.002124715629122642,-0.01089324618736387,0.001555804290870071,0.3,0.55,0,1370.0624153903518,1373.9924084190875,19.48021750963099,-3.357042075583422,-2.606288581845908,1372.6768626372386,0.001555804290870071,-1,ICICIBANK,5m,2026-01-30 05:45:00
1361.5,1361.9000244140625,1359.0999755859375,1359.800048828125,176204,-0.0016152358090124608,-0.012275661322835418,0.001571573556540989,0.3,0.6,-1,1369.08504714633,1373.4358452978734,14.049353322168642,-3.75353448411056,-2.8357377622988382,1372.5030992605216,0.001571573556540989,0,ICICIBANK,5m,2026-01-30 05:50:00
1359.800048828125,1360.800048828125,1359.4000244140625,1359.699951171875,88046,-7.361204048805803e-05,-0.013351734083181577,0.001530303943621221,0.25,0.55,0,1368.191228482096,1372.8971827831283,15.110759064448047,-4.029386360987019,-3.0744674820364746,1372.4159989267969,0.001530303943621221,0,ICICIBANK,5m,2026-01-30 05:55:00
1359.699951171875,1360.199951171875,1358.0,1360.0,117502,0.00022067282407878253,-0.013134007623969213,0.0015361788636968656,0.2,0.6,-1,1367.411111483801,1372.39141090928,21.51140509006261,-4.175655174404483,-3.2947050205100763,1372.2964208662831,0.0015361788636968656,0,ICICIBANK,5m,2026-01-30 06:00:00
1360.0,1360.800048828125,1359.5,1360.5999755859375,38656,0.0004411585190717826,-0.00946418188050313,0.0014248290826186726,0.25,0.55,0,1366.7624318744806,1371.9290016809136,18.181818181818187,-4.1948061333384885,-3.474725243075759,1372.2602727309722,0.0014248290826186726,0,ICICIBANK,5m,2026-01-30 06:05:00
1360.5999755859375,1364.0,1360.0,1363.4000244140625,180633,0.0020579515495868783,-0.008292132680515873,0.0015060923190082212,0.3,0.55,0,1366.442202592536,1371.5945319841744,34.52399982561434,-3.938640668911603,-3.567508328242928,1372.1242897465947,0.0015060923190082212,-1,ICICIBANK,5m,2026-01-30 06:10:00
1363.5,1363.5,1361.699951171875,1362.199951171875,45773,-0.0008802062642644382,-0.010101028021705982,0.0014742711176021835,0.3,0.55,0,1366.0381786477112,1371.2261170503587,26.506015236638518,-3.7887887754304757,-3.6117644176804378,1372.090428657434,0.0014742711176021835,-1,ICICIBANK,5m,2026-01-30 06:15:00
1362.300048828125,1364.300048828125,1361.9000244140625,1363.5,233823,0.0009543744492184203,-0.009947684909673127,0.0014818861550947085,0.3,0.55,0,1365.7964473479292,1370.9231320679917,33.13958439788793,-3.52449876689343,-3.5943112875230367,1371.9345855505667,0.0014818861550947085,0,ICICIBANK,5m,2026-01-30 06:20:00
