open,high,low,close,volume,returns,price_change_pct,rolling_volatility,higher_high_ratio,lower_low_ratio,market_type,ema_20,ema_50,rsi,macd,macd_signal,vwap,volatility,target_market_type,symbol,timeframe,timestamp
1626.5,1628.0,1625.0999755859375,1626.300048828125,39023,6.155310494126986e-05,-0.003980891600698477,0.0016706340485337105,0.55,0.4,0,1625.6071680494383,1628.3836843067782,47.47909934861773,-1.6302274821071023,-2.155273207796509,1625.40671176301,0.0016706340485337105,0,INFY,5m,2026-01-30 05:25:00
1626.300048828125,1627.5999755859375,1625.0,1627.0999755859375,30344,0.0004918691101245543,0.0014155137178086807,0.0012554775649760452,0.55,0.4,0,1625.7493401957715,1628.3333427883138,52.83826500423781,-1.3185098955598278,-1.9879205453491728,1625.4312544122222,0.0012554775649760452,0,INFY,5m,2026-01-30 05:30:00
1627.0999755859375,1627.5999755859375,1622.199951171875,1622.199951171875,68655,-0.0030115078898566017,-0.004235482485708597,0.0012818987822207394,0.5,0.45,0,1625.4113031458764,1628.0928176268849,40.304014852634026,-1.4501460998646962,-1.8803656562522777,1625.3658651363278,0.0012818987822207394,0,INFY,5m,2026-01-30 05:35:00
1622.4000244140625,1622.5,1620.4000244140625,1622.0999755859375,140745,-6.162963194844551e-05,-0.004357952245720664,0.001280815781668069,0.5,0.5,0,1625.0959386163586,1627.8578042135143,44.16656494140625,-1.5447292571031994,-1.8132383764224622,1625.0490799811382,0.001280815781668069,0,INFY,5m,2026-01-30 05:40:00
1622.0,1622.5,1620.0999755859375,1620.4000244140625,90531,-0.0010479940801805254,-0.005218245363497687,0.0012941255748445493,0.45,0.55,0,1624.6487086923303,1627.5653422605947,44.91519725238063,-1.7368377585978578,-1.7979582528575415,1624.8376867605277,0.0012941255748445493,0,INFY,5m,2026-01-30 05:45:00
1620.300048828125,1622.5,1620.0,1621.0999755859375,103575,0.0004319619608301739,-0.00491068695592034,0.0013007783882273663,0.45,0.55,0,1624.310734110769,1627.3117984694318,39.81474678858641,-1.811720533709149,-1.8007107090278631,1624.6326539442646,0.0013007783882273663,0,INFY,5m,2026-01-30 05:50:00
1621.4000244140625,1623.199951171875,1620.199951171875,1620.699951171875,41129,-0.0002467611005410042,-0.004178217405913953,0.0012891965693288816,0.45,0.55,0,1623.9668500213506,1627.052510340116,46.738935734046294,-1.8816537662291921,-1.816899320468129,1624.5611552206435,0.0012891965693288816,0,INFY,5m,2026-01-30 05:55:00
1620.699951171875,1620.9000244140625,1618.0999755859375,1619.800048828125,112072,-0.0005552553654977199,-0.003690490724443496,0.0012770836505975728,0.45,0.55,0,1623.5700118124719,1626.768100084744,50.887723556094876,-1.986788494158418,-1.850877155206187,1624.2818723266753,0.0012770836505975728,0,INFY,5m,2026-01-30 06:00:00
1619.5999755859375,1622.5999755859375,1619.0999755859375,1621.699951171875,175397,0.00117292399461566,-0.0034413430149423663,0.001289664250355976,0.45,0.55,0,1623.3919107990816,1626.5693491469845,56.75684592543715,-1.894958381847573,-1.8596934005344643,1624.0269359772747,0.001289664250355976,0,INFY,5m,2026-01-30 06:05:00
1621.699951171875,1623.9000244140625,1621.199951171875,1622.300048828125,47882,0.0003700423471162395,-0.0016000834185937451,0.0012571066191481776,0.45,0.55,0,1623.2879239447047,1626.4019256050685,55.80142169227241,-1.7535457072381178,-1.8384638618751952,1623.9931939955268,0.0012571066191481776,0,INFY,5m,2026-01-30 06:10:00
1622.699951171875,1625.4000244140625,1622.199951171875,1624.9000244140625,48436,0.001602647788746303,0.0012940445666451694,0.0012766001780040476,0.5,0.5,0,1623.4414573227389,1626.3430275191467,53.21635339553544,-1.415363414495232,-1.7538437723992026,1623.9969076552768,0.0012766001780040476,0,INFY,5m,2026-01-30 06:15:00
1624.4000244140625,1626.0,1624.0,1625.199951171875,38180,0.00018458166859880443,-0.0001845886361888649,0.0012207549448267961,0.5,0.5,0,1623.6089329274187,1626.2982009957243,51.515173934273406,-1.1103504988795976,-1.6251451176952818,1624.0146597889022,0.0012207549448267961,0,INFY,5m,2026-01-30 06:20:00
1625.199951171875,1626.5999755859375,1624.199951171875,1625.9000244140625,48238,0.0004307612990528398,0.002466243257777334,0.001107165429293895,0.55,0.5,0,1623.8271321166228,1626.282586227816,52.09604912101165,-0.8028804003865844,-1.4606921742335424,1624.0465312669314,0.001107165429293895,0,INFY,5m,2026-01-30 06:25:00
1625.9000244140625,1626.5,1625.0,1625.9000244140625,31650,0.0,0.003951852061786054,0.0010418877310001066,0.55,0.45,0,1624.0245504306647,1626.2675838037471,49.044808845140075,-0.5528353898819205,-1.279120817363218,1624.069843557913,0.0010418877310001066,0,INFY,5m,2026-01-30 06:30:00
1625.800048828125,1626.0,1624.9000244140625,1625.0,47738,-0.0005535545854898904,0.003582046074005474,0.0010522165367577274,0.55,0.45,0,1624.117450389649,1626.2178746349728,46.060399804684614,-0.4224278803249035,-1.1077822299555553,1624.0940268809684,0.0010522165367577274,0,INFY,5m,2026-01-30 06:35:00
1625.0,1626.699951171875,1624.5999755859375,1625.9000244140625,60245,0.0005538611778845848,0.0035181294988095857,0.0010509151924098538,0.55,0.45,0,1624.2872193443552,1626.2054099204272,46.38565734707985,-0.24364594230996772,-0.9349549724264379,1624.1337115210918,0.0010509151924098538,0,INFY,5m,2026-01-30 06:40:00
1626.199951171875,1627.4000244140625,1625.0,1625.199951171875,32708,-0.000430575823651802,0.000862114978232853,0.0009407370831256487,0.55,0.45,0,1624.3741461850714,1626.165980165582,62.09686946249261,-0.1566443299391267,-0.7792928439289757,1624.1561924399825,0.0009407370831256487,0,INFY,5m,2026-01-30 06:45:00
1625.0999755859375,1626.5999755859375,1624.4000244140625,1625.9000244140625,22927,0.0004307612990528398,0.0007386429976328213,0.0009376100904981774,0.5,0.5,0,1624.5194679211659,1626.1555505282674,64.61557241586539,-0.030849254432268935,-0.6296041260296344,1624.1695035724397,0.0009376100904981774,0,INFY,5m,2026-01-30 06:50:00
1625.9000244140625,1626.699951171875,1624.5999755859375,1625.4000244140625,34167,-0.0003075219832044951,0.00012310684727956378,0.0009383641484745658,0.5,0.5,0,1624.603330444299,1626.1259220532006,71.1863530093311,0.02817365947680628,-0.49804856892834637,1624.188017516112,0.0009383641484745658,0,INFY,5m,2026-01-30 06:55:00
1625.5,1627.699951171875,1625.4000244140625,1626.5,30710,0.0006767414602040223,0.00018450918529966387,0.0009405596267963999,0.55,0.45,0,1624.7839656400802,1626.1405917766044,72.13111473539918,0.16184295603920873,-0.3660702639348354,1624.2156225055676,0.0009405596267963999,0,INFY,5m,2026-01-30 07:00:00
1627.0999755859375,1627.4000244140625,1625.5,1626.699951171875,30694,0.00012293339801727754,0.00024589702499122623,0.0009408380145609151,0.5,0.45,0,1624.966440452632,1626.1625274391643,75.0,0.28067576955231743,-0.23672105723740483,1624.2425713321686,0.0009408380145609151,0,INFY,5m,2026-01-30 07:05:00
1626.0999755859375,1626.4000244140625,1624.5999755859375,1625.0,43433,-0.0010450305667313309,-0.0012906248032984458,0.0009621652915351481,0.5,0.45,0,1624.9696366000005,1626.1169381278246,70.31223178012169,0.23497117646184051,-0.14238261049755577,1624.260227283286,0.0009621652915351481,0,INFY,5m,2026-01-30 07:10:00
1625.0999755859375,1626.9000244140625,1624.199951171875,1626.199951171875,99904,0.0007384314903846612,0.0024657872767843703,0.0006822351291007044,0.55,0.45,0,1625.0868094163695,1626.120193541317,68.59489124732659,0.2922076009826924,-0.05546456820150614,1624.3143017945106,0.0006822351291007044,0,INFY,5m,2026-01-30 07:15:00
1626.300048828125,1628.5,1625.4000244140625,1628.4000244140625,71402,0.0013528922077521432,0.0038838844232453873,0.0007334460011211627,0.6,0.4,0,1625.402353701864,1626.2095986735815,72.26256560130446,0.5092253705565781,0.05747341955011072,1624.3923200300437,0.0007334460011211627,0,INFY,5m,2026-01-30 07:20:00
1628.199951171875,1630.300048828125,1628.0,1629.9000244140625,110405,0.000921149580883629,0.005862749849954607,0.000688739311886952,0.65,0.35,0,1625.830703293502,1626.3543212516397,69.84111606277853,0.7931085191341936,0.2046004394669273,1624.5787907457052,0.000688739311886952,0,INFY,5m,2026-01-30 07:25:00
1629.699951171875,1630.300048828125,1627.0,1628.0,44970,-0.001165730649489105,0.004256384256355661,0.0007606226352197456,0.65,0.35,0,1626.0373029798352,1626.418857673144,59.85919125232103,0.8549169185316714,0.33466373527987614,1624.6363802306273,0.0007606226352197456,0,INFY,5m,2026-01-30 07:30:00
1628.0,1628.300048828125,1625.300048828125,1626.199951171875,36064,-0.0011056810983568477,0.0033935954622712483,0.0008105380208986474,0.6,0.4,0,1626.052793283839,1626.4102731044668,50.980141855288466,0.7500060210179527,0.41773219242749143,1624.659629421476,0.0008105380208986474,0,INFY,5m,2026-01-30 07:35:00
1626.300048828125,1628.4000244140625,1625.4000244140625,1627.4000244140625,37405,0.0007379616764362495,0.0046919220625014635,0.0008011885079829363,0.65,0.35,0,1626.181101010527,1626.4490868813139,54.54538729007916,0.754996134638759,0.485184980869745,1624.6888298428846,0.0008011885079829363,0,INFY,5m,2026-01-30 07:40:00
1627.4000244140625,1627.9000244140625,1626.0999755859375,1627.0999755859375,38519,-0.00018437312499919312,0.003329854212649197,0.0007745468398612348,0.6,0.35,0,1626.268612874852,1626.474611928554,56.60358527503743,0.7263663042106145,0.5334212455379189,1624.7177569388107,0.0007745468398612348,0,INFY,5m,2026-01-30 07:45:00
1626.800048828125,1627.5,1625.9000244140625,1626.300048828125,17222,-0.0004916272938449984,0.0024656351350598182,0.0007865024942243021,0.55,0.4,0,1626.2716067751637,1626.4677663167724,51.26588635222312,0.6318460255686205,0.5531062015440592,1624.7279006360666,0.0007865024942243021,0,INFY,5m,2026-01-30 07:50:00
1626.5999755859375,1627.4000244140625,1625.699951171875,1626.9000244140625,17241,0.00036892059762894114,0.0012308449565821,0.0007089360808391357,0.5,0.45,0,1626.3314560741064,1626.4847176147052,55.41422073630603,0.5984524519999468,0.5621754516352367,1624.738490743343,0.0007089360808391357,0,INFY,5m,2026-01-30 07:55:00
1626.9000244140625,1627.4000244140625,1625.9000244140625,1626.199951171875,23717,-0.00043031116336700315,0.000615308903546774,0.0007166200921689863,0.45,0.45,0,1626.3189317977035,1626.4735503032218,50.95517630136454,0.5096231263000846,0.5516649865682063,1624.7516280425589,0.0007166200921689863,0,INFY,5m,2026-01-30 08:00:00
